"","year","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HEP","AEP","HIP","AIP","HomeSecured","AwaySecured","League"
"65",2015,"SP2","28/09/14","Sp Gijon","Valladolid",1,1,"D",1.56817618108951,1.1359737869274,1,1,0,0,"Segunda Division"
"66",2015,"SP2","28/09/14","Tenerife","Las Palmas",2,1,"H",1.42208774583964,1.28139183055976,3,0,0,0,"Segunda Division"
"67",2015,"SP2","29/09/14","Ponferradina","Albacete",1,0,"H",1.69532237673831,1.02212389380531,3,0,0,0,"Segunda Division"
"68",2015,"SP2","04/10/14","Alaves","Llagostera",0,0,"D",1.84415907835898,0.881470814340007,1,1,0,0,"Segunda Division"
"69",2015,"SP2","04/10/14","Barcelona B","Lugo",0,1,"A",1.72294294531646,1.00255795823199,0,3,0,0,"Segunda Division"
"70",2015,"SP2","04/10/14","Girona","Ponferradina",3,0,"H",1.56130619080015,1.14275995604166,3,0,0,0,"Segunda Division"
"71",2015,"SP2","04/10/14","Las Palmas","Sp Gijon",1,1,"D",1.60558970195987,1.1039081526151,1,1,0,0,"Segunda Division"
"72",2015,"SP2","04/10/14","Osasuna","Santander",0,2,"A",1.68715475936155,1.03015228736229,0,3,0,0,"Segunda Division"
"73",2015,"SP2","05/10/14","Leganes","Tenerife",2,0,"H",1.58325147347741,1.12278978388998,3,0,0,0,"Segunda Division"
"74",2015,"SP2","05/10/14","Mirandes","Numancia",2,0,"H",1.21933614189497,1.47959320578528,3,0,0,0,"Segunda Division"
"75",2015,"SP2","05/10/14","Recreativo","Alcorcon",2,1,"H",1.53009744828868,1.17450412893975,3,0,0,0,"Segunda Division"
"76",2015,"SP2","05/10/14","Sabadell","Albacete",6,1,"H",1.54954996176146,1.1610463634165,3,0,0,0,"Segunda Division"
"77",2015,"SP2","05/10/14","Valladolid","Betis",0,0,"D",1.45385069705859,1.25184000103845,1,1,0,0,"Segunda Division"
"78",2015,"SP2","05/10/14","Zaragoza","Mallorca",2,0,"H",1.56130619080015,1.14275995604166,3,0,0,0,"Segunda Division"
"79",2015,"SP2","11/10/14","Albacete","Girona",0,1,"A",1.40300833951414,1.30208805416001,0,3,0,0,"Segunda Division"
"80",2015,"SP2","11/10/14","Alcorcon","Osasuna",2,0,"H",1.75216747975315,0.973641189695759,3,0,0,0,"Segunda Division"
"81",2015,"SP2","11/10/14","Mallorca","Alaves",2,0,"H",1.58187206717708,1.1224993825636,3,0,0,0,"Segunda Division"
"82",2015,"SP2","11/10/14","Numancia","Valladolid",0,1,"A",1.32951501154734,1.37162342073088,0,3,0,0,"Segunda Division"
"83",2015,"SP2","11/10/14","Ponferradina","Mirandes",1,0,"H",1.85719483447345,0.868715342627155,3,0,0,0,"Segunda Division"
"84",2015,"SP2","11/10/14","Santander","Barcelona B",0,0,"D",1.48132274744947,1.23978624145665,1,1,0,0,"Segunda Division"
"85",2015,"SP2","11/10/14","Tenerife","Recreativo",0,2,"A",1.53135313531353,1.17491749174917,0,3,0,0,"Segunda Division"
"86",2015,"SP2","12/10/14","Betis","Las Palmas",0,0,"D",1.6389285982996,1.08276277180047,1,1,0,0,"Segunda Division"
"87",2015,"SP2","12/10/14","Llagostera","Sabadell",0,1,"A",1.41698685267842,1.28636446509241,0,3,0,0,"Segunda Division"
"88",2015,"SP2","12/10/14","Lugo","Zaragoza",3,3,"D",1.59009415710048,1.11608409647878,1,1,0,0,"Segunda Division"
"89",2015,"SP2","12/10/14","Sp Gijon","Leganes",2,1,"H",1.77064054000778,0.950959238363141,3,0,0,0,"Segunda Division"
"90",2015,"SP2","18/10/14","Alaves","Lugo",1,0,"H",1.5323849638401,1.17690534848605,3,0,0,0,"Segunda Division"
"91",2015,"SP2","18/10/14","Mirandes","Albacete",3,2,"H",1.45339897491233,1.25188831939574,3,0,0,0,"Segunda Division"
"92",2015,"SP2","18/10/14","Osasuna","Tenerife",3,2,"H",1.68996338150175,1.03313383470489,3,0,0,0,"Segunda Division"
"93",2015,"SP2","18/10/14","Sabadell","Girona",0,2,"A",1.37201094149828,1.33161156323602,0,3,0,0,"Segunda Division"
"94",2015,"SP2","18/10/14","Valladolid","Ponferradina",0,0,"D",1.77546413535954,0.944159377012437,1,1,0,0,"Segunda Division"
"95",2015,"SP2","18/10/14","Zaragoza","Santander",2,1,"H",1.49902094993848,1.1970923079589,3,0,0,0,"Segunda Division"
"96",2015,"SP2","19/10/14","Barcelona B","Alcorcon",4,1,"H",1.5982829087731,1.12649410071203,3,0,0,0,"Segunda Division"
"97",2015,"SP2","19/10/14","Las Palmas","Numancia",2,0,"H",1.9305102966206,0.811538663135398,3,0,0,0,"Segunda Division"
"98",2015,"SP2","19/10/14","Leganes","Betis",1,0,"H",1.39239782447346,1.31330989085865,3,0,0,0,"Segunda Division"
"99",2015,"SP2","19/10/14","Llagostera","Mallorca",1,4,"A",1.30140583651122,1.39910519255786,0,3,0,0,"Segunda Division"
"100",2015,"SP2","19/10/14","Recreativo","Sp Gijon",1,1,"D",1.45970799386948,1.24142937807534,1,1,0,0,"Segunda Division"
"101",2015,"SP2","25/10/14","Betis","Recreativo",3,2,"H",1.84654790948777,0.888022763295268,3,0,0,0,"Segunda Division"
"102",2015,"SP2","25/10/14","Mallorca","Sabadell",1,0,"H",1.80974833992393,0.912483530947086,3,0,0,0,"Segunda Division"
"103",2015,"SP2","25/10/14","Ponferradina","Las Palmas",2,2,"D",1.42732074722895,1.28351088037305,1,1,0,0,"Segunda Division"
"104",2015,"SP2","25/10/14","Santander","Alaves",1,1,"D",1.60355029585799,1.10489510489511,1,1,0,0,"Segunda Division"
"105",2015,"SP2","26/10/14","Albacete","Valladolid",3,4,"A",1.24148430424582,1.4661051794242,0,3,0,0,"Segunda Division"
"106",2015,"SP2","26/10/14","Alcorcon","Zaragoza",1,3,"A",1.73401099609739,0.986859138177284,0,3,0,0,"Segunda Division"
"107",2015,"SP2","26/10/14","Girona","Mirandes",3,0,"H",1.90659200814457,0.824637312293204,3,0,0,0,"Segunda Division"
"108",2015,"SP2","26/10/14","Lugo","Llagostera",1,1,"D",1.89145481649428,0.835415257714238,1,1,0,0,"Segunda Division"
"109",2015,"SP2","26/10/14","Numancia","Leganes",1,1,"D",1.5891544773457,1.12144131287906,1,1,0,0,"Segunda Division"
"110",2015,"SP2","26/10/14","Sp Gijon","Osasuna",2,0,"H",1.66314264214775,1.0570270085385,3,0,0,0,"Segunda Division"
