YEAR,REGION,ROUND,SEED,TEAM,SCORE,O_SEED,O_NAME,O_SCORE
2012,West Regional,2,6,Murray State,53,3,Marquette,62
2012,West Regional,2,7,Florida,84,15,Norfolk State,50
2012,West Regional,3,1,Michigan State,44,4,Louisville,57
2012,West Regional,3,3,Marquette,58,7,Florida,68
2012,West Regional,4,4,Louisville,72,7,Florida,68
2012,Final_Four,Final_Four,1,Kentucky,69,4,Louisville,61
2012,Final_Four,Final_Four,2,Ohio State,62,2,Kansas,64
2012,Final_Four,Championship,1,Kentucky,67,2,Kansas,59
2013,East Regional,1,1,Indiana,83,16,James Madison,62
2013,East Regional,1,8,North Carolina State,72,9,Temple,76
2013,East Regional,1,5,UNLV,61,12,University of California,64
2013,East Regional,1,4,Syracuse,81,13,Montana,34
2013,East Regional,1,6,Butler,68,11,Bucknell,56
2013,East Regional,1,3,Marquette,59,14,Davidson,58
2013,East Regional,1,7,Illinois,57,10,Colorado,49
2013,East Regional,1,2,Miami (FL),78,15,Pacific,49
2013,East Regional,2,1,Indiana,58,9,Temple,52
2013,East Regional,2,12,University of California,60,4,Syracuse,66
2013,East Regional,2,6,Butler,72,3,Marquette,74
2013,East Regional,2,7,Illinois,59,2,Miami (FL),63
2013,East Regional,3,1,Indiana,50,4,Syracuse,61
2013,East Regional,3,3,Marquette,71,2,Miami (FL),61
2013,East Regional,4,4,Syracuse,55,3,Marquette,39
2013,Midwest Regional,1,1,Louisville,79,16,North Carolina A&T,48
2013,Midwest Regional,1,8,Colorado State,84,9,Missouri,72
2013,Midwest Regional,1,5,Oklahoma State,55,12,Oregon,68
2013,Midwest Regional,1,4,Saint Louis,64,13,New Mexico State,44
2013,Midwest Regional,1,6,Memphis,54,11,Saint Mary's (CA),52
2013,Midwest Regional,1,3,Michigan State,65,14,Valparaiso,54
2013,Midwest Regional,1,7,Creighton,67,10,Cincinnati,63
2013,Midwest Regional,1,2,Duke,73,15,Albany (NY),61
2013,Midwest Regional,2,1,Louisville,82,8,Colorado State,56
2013,Midwest Regional,2,12,Oregon,74,4,Saint Louis,57
2013,Midwest Regional,2,6,Memphis,48,3,Michigan State,70
2013,Midwest Regional,2,7,Creighton,50,2,Duke,66
2013,Midwest Regional,3,1,Louisville,77,12,Oregon,69
2013,Midwest Regional,3,3,Michigan State,61,2,Duke,71
2013,Midwest Regional,4,1,Louisville,85,2,Duke,63
2013,South Regional,1,1,Kansas,64,16,Western Kentucky,57
2013,South Regional,1,8,UNC,78,9,Villanova,71
2013,South Regional,1,5,VCU,88,12,Akron,42
2013,South Regional,1,4,Michigan,71,13,South Dakota State,56
2013,South Regional,1,6,UCLA,63,11,Minnesota,83
2013,South Regional,1,3,Florida,79,14,Northwestern State,47
2013,South Regional,1,7,San Diego State,70,10,Oklahoma,55
2013,South Regional,1,2,Georgetown,68,15,Florida Gulf Coast,78
2013,South Regional,2,1,Kansas,70,8,UNC,58
2013,South Regional,2,5,VCU,53,4,Michigan,78
2013,South Regional,2,11,Minnesota,64,3,Florida,78
2013,South Regional,2,7,San Diego State,71,15,Florida Gulf Coast,81
2013,South Regional,3,1,Kansas,85,4,Michigan,87
2013,South Regional,3,3,Florida,62,15,Florida Gulf Coast,50
2013,South Regional,4,4,Michigan,79,3,Florida,59
2013,West Regional,1,1,Gonzaga,64,16,Southern,58
2013,West Regional,1,8,Pitt,55,9,Wichita State,73
2013,West Regional,1,5,Wisconsin,46,12,Ole Miss,57
2013,West Regional,1,4,Kansas State,61,13,La Salle,63
2013,West Regional,1,6,Arizona,81,11,Belmont,64
2013,West Regional,1,3,New Mexico,62,14,Harvard,68
2013,West Regional,1,7,Notre Dame,58,10,Iowa State,76
2013,West Regional,1,2,Ohio State,95,15,Iona,70
2013,West Regional,2,1,Gonzaga,70,9,Wichita State,76
2013,West Regional,2,12,Ole Miss,74,13,La Salle,76
2013,West Regional,2,6,Arizona,74,14,Harvard,51
2013,West Regional,2,10,Iowa State,75,2,Ohio State,78
2013,West Regional,3,9,Wichita State,72,13,La Salle,58
2013,West Regional,3,6,Arizona,70,2,Ohio State,73
2013,West Regional,4,9,Wichita State,70,2,Ohio State,66
2013,Final_Four,Final_Four,1,Louisville,72,9,Wichita State,68
2013,Final_Four,Final_Four,4,Syracuse,56,4,Michigan,61
2013,Final_Four,Championship,1,Louisville,82,4,Michigan,76
2014,East Regional,1,1,Virginia,70,16,Coastal Carolina,59
2014,East Regional,1,8,Memphis,71,9,George Washington,66
2014,East Regional,1,5,Cincinnati,57,12,Harvard,61
2014,East Regional,1,4,Michigan State,93,13,Delaware,78
2014,East Regional,1,6,UNC,79,11,Providence,77
2014,East Regional,1,3,Iowa State,93,14,North Carolina Central,75
2014,East Regional,1,7,UConn,89,10,St. Joseph's,81
2014,East Regional,1,2,Villanova,73,15,Milwaukee,53
2014,East Regional,2,1,Virginia,78,8,Memphis,60
2014,East Regional,2,12,Harvard,73,4,Michigan State,80
2014,East Regional,2,6,UNC,83,3,Iowa State,85
2014,East Regional,2,7,UConn,77,2,Villanova,65
2014,East Regional,3,1,Virginia,59,4,Michigan State,61
2014,East Regional,3,3,Iowa State,76,7,UConn,81
2014,East Regional,4,4,Michigan State,54,7,UConn,60
2014,Midwest Regional,1,1,Wichita State,64,16,Cal Poly,37
2014,Midwest Regional,1,8,Kentucky,56,9,Kansas State,49
2014,Midwest Regional,1,5,Saint Louis,83,12,North Carolina State,80
2014,Midwest Regional,1,4,Louisville,71,13,Manhattan,64
2014,Midwest Regional,1,6,UMass,67,11,Tennessee,86
2014,Midwest Regional,1,3,Duke,71,14,Mercer,78
2014,Midwest Regional,1,7,Texas,87,10,Arizona State,85
2014,Midwest Regional,1,2,Michigan,57,15,Wofford,40
2014,Midwest Regional,2,1,Wichita State,76,8,Kentucky,78
2014,Midwest Regional,2,5,Saint Louis,51,4,Louisville,66
2014,Midwest Regional,2,11,Tennessee,83,14,Mercer,63
2014,Midwest Regional,2,7,Texas,65,2,Michigan,79
2014,Midwest Regional,3,8,Kentucky,74,4,Louisville,69
2014,Midwest Regional,3,11,Tennessee,71,2,Michigan,73
2014,Midwest Regional,4,8,Kentucky,75,2,Michigan,72
2014,South Regional,1,1,Florida,67,16,Albany (NY),55
2014,South Regional,1,8,Colorado,48,9,Pitt,77
2014,South Regional,1,5,VCU,75,12,Stephen F. Austin,77
2014,South Regional,1,4,UCLA,76,13,Tulsa,59
2014,South Regional,1,6,Ohio State,59,11,Dayton,60
2014,South Regional,1,3,Syracuse,77,14,Western Michigan,53
2014,South Regional,1,7,New Mexico,53,10,Stanford,58
2014,South Regional,1,2,Kansas,80,15,Eastern Kentucky,69
2014,South Regional,2,1,Florida,61,9,Pitt,45
2014,South Regional,2,12,Stephen F. Austin,60,4,UCLA,77
2014,South Regional,2,11,Dayton,55,3,Syracuse,53
2014,South Regional,2,10,Stanford,60,2,Kansas,57
2014,South Regional,3,1,Florida,79,4,UCLA,68
2014,South Regional,3,11,Dayton,82,10,Stanford,72
2014,South Regional,4,1,Florida,62,11,Dayton,52
2014,West Regional,1,1,Arizona,68,16,Weber State,59
2014,West Regional,1,8,Gonzaga,85,9,Oklahoma State,77
2014,West Regional,1,5,Oklahoma,75,12,North Dakota State,80
2014,West Regional,1,4,San Diego State,73,13,New Mexico State,69
2014,West Regional,1,6,Baylor,74,11,Nebraska,60
2014,West Regional,1,3,Creighton,76,14,Louisiana-Lafayette,66
2014,West Regional,1,7,Oregon,87,10,BYU,68
2014,West Regional,1,2,Wisconsin,75,15,American,35
2014,West Regional,2,1,Arizona,84,8,Gonzaga,61
2014,West Regional,2,12,North Dakota State,44,4,San Diego State,63
2014,West Regional,2,6,Baylor,85,3,Creighton,55
2014,West Regional,2,7,Oregon,77,2,Wisconsin,85
2014,West Regional,3,1,Arizona,70,4,San Diego State,64
2014,West Regional,3,6,Baylor,52,2,Wisconsin,69
2014,West Regional,4,1,Arizona,63,2,Wisconsin,64
2014,Final_Four,Final_Four,7,UConn,63,1,Florida,53
2014,Final_Four,Final_Four,2,Wisconsin,73,8,Kentucky,74
2014,Final_Four,Championship,7,UConn,60,8,Kentucky,54
2015,East Regional,1,1,Villanova,93,16,Lafayette,52
2015,East Regional,1,8,North Carolina State,66,9,LSU,65
2015,East Regional,1,5,Northern Iowa,71,12,Wyoming,54
2015,East Regional,1,4,Louisville,57,13,UC-Irvine,55
2015,East Regional,1,6,Providence,53,11,Dayton,66
2015,East Regional,1,3,Oklahoma,69,14,Albany (NY),60
2015,East Regional,1,7,Michigan State,70,10,Georgia,63
2015,East Regional,1,2,Virginia,79,15,Belmont,67
2015,East Regional,2,1,Villanova,68,8,North Carolina State,71
2015,East Regional,2,5,Northern Iowa,53,4,Louisville,66
2015,East Regional,2,11,Dayton,66,3,Oklahoma,72
2015,East Regional,2,7,Michigan State,60,2,Virginia,54
2015,East Regional,3,8,North Carolina State,65,4,Louisville,75
2015,East Regional,3,3,Oklahoma,58,7,Michigan State,62
2015,East Regional,4,4,Louisville,70,7,Michigan State,76
2015,Midwest Regional,1,1,Kentucky,79,16,Hampton,56
2015,Midwest Regional,1,8,Cincinnati,66,9,Purdue,65
2015,Midwest Regional,1,5,West Virginia,68,12,Buffalo,62
2015,Midwest Regional,1,4,Maryland,65,13,Valparaiso,62
2015,Midwest Regional,1,6,Butler,56,11,Texas,48
2015,Midwest Regional,1,3,Notre Dame,69,14,Northeastern,65
2015,Midwest Regional,1,7,Wichita State,81,10,Indiana,76
2015,Midwest Regional,1,2,Kansas,75,15,New Mexico State,56
2015,Midwest Regional,2,1,Kentucky,64,8,Cincinnati,51
2015,Midwest Regional,2,5,West Virginia,69,4,Maryland,59
2015,Midwest Regional,2,6,Butler,64,3,Notre Dame,67
2015,Midwest Regional,2,7,Wichita State,78,2,Kansas,65
2015,Midwest Regional,3,1,Kentucky,78,5,West Virginia,39
2015,Midwest Regional,3,3,Notre Dame,81,7,Wichita State,70
2015,Midwest Regional,4,1,Kentucky,68,3,Notre Dame,66
2015,South Regional,1,1,Duke,85,16,Robert Morris,56
2015,South Regional,1,8,San Diego State,76,9,St. John's (NY),64
2015,South Regional,1,5,Utah,57,12,Stephen F. Austin,50
2015,South Regional,1,4,Georgetown,84,13,Eastern Washington,74
2015,South Regional,1,6,SMU,59,11,UCLA,60
2015,South Regional,1,3,Iowa State,59,14,Alabama-Birmingham,60
2015,South Regional,1,7,Iowa,83,10,Davidson,52
2015,South Regional,1,2,Gonzaga,86,15,North Dakota State,76
2015,South Regional,2,1,Duke,68,8,San Diego State,49
2015,South Regional,2,5,Utah,75,4,Georgetown,64
2015,South Regional,2,11,UCLA,92,14,Alabama-Birmingham,75
2015,South Regional,2,7,Iowa,68,2,Gonzaga,87
2015,South Regional,3,1,Duke,63,5,Utah,57
2015,South Regional,3,11,UCLA,62,2,Gonzaga,74
2015,South Regional,4,1,Duke,66,2,Gonzaga,52
2015,West Regional,1,1,Wisconsin,86,16,Coastal Carolina,72
2015,West Regional,1,8,Oregon,79,9,Oklahoma State,73
2015,West Regional,1,5,Arkansas,56,12,Wofford,53
2015,West Regional,1,4,UNC,67,13,Harvard,65
2015,West Regional,1,6,Xavier,76,11,Ole Miss,57
2015,West Regional,1,3,Baylor,56,14,Georgia State,57
2015,West Regional,1,7,VCU,72,10,Ohio State,75
2015,West Regional,1,2,Arizona,93,15,Texas Southern,72
2015,West Regional,2,1,Wisconsin,72,8,Oregon,65
2015,West Regional,2,5,Arkansas,78,4,UNC,87
2015,West Regional,2,6,Xavier,75,14,Georgia State,67
2015,West Regional,2,10,Ohio State,58,2,Arizona,73
2015,West Regional,3,1,Wisconsin,79,4,UNC,72
2015,West Regional,3,6,Xavier,60,2,Arizona,68
2015,West Regional,4,1,Wisconsin,85,2,Arizona,78
2015,Final_Four,Final_Four,1,Duke,81,7,Michigan State,61
2015,Final_Four,Final_Four,1,Kentucky,64,1,Wisconsin,71
2015,Final_Four,Championship,1,Duke,68,1,Wisconsin,63
