YEAR,WEEK,RK,TEAM,RECORD,PTS,PREV,TRENDING,GAMES
2015,10,15,North Carolina,12-4,719,18,3,"  @ NC State W 81-79,  vs Virginia Tech W 68-53"
2015,10,16,West Virginia,14-2,627,14,2,"  vs Oklahoma W 86-65,  @ Texas L 77-50"
2015,10,17,VCU,13-3,578,20,3,"  @ URI W 65-60,  @ Duquesne W 70-64"
2015,10,18,Oklahoma,11-4,485,16,2,"  @ West Virginia L 86-65,  vs Oklahoma State W 82-65"
2015,10,19,Arkansas,13-2,431,23,4,"  @ Tennessee L 74-69,  vs Ole Miss L 96-82"
2015,10,20,Texas,12-4,345,10,10,  vs West Virginia W 77-50
2015,10,21,Seton Hall,13-3,298,19,2,  vs Butler L 79-75
2015,10,22,Baylor,12-3,278,21,1,"  vs Iowa State W 74-73,  @ Kansas State L 63-61"
2015,10,23,Northern Iowa,14-2,212,NR,3,"  @ Bradley W 63-52,  vs Missouri State W 60-46"
2015,10,24,Oklahoma State,12-3,132,NR,2,"  @ Kansas L 67-57,  @ Oklahoma L 82-65"
2015,10,25,Wyoming,15-2,71,NR,1,"  vs San Diego State L 60-52,  @ Fresno State W 70-65"
2015,11,1,Kentucky (63),17-0,"1,623",1,--,"  vs Vanderbilt W 65-57,  @ South Carolina W 58-43"
2015,11,2,Virginia (2),17-0,"1,562",2,--,"  vs Georgia Tech W 57-28,  @ Virginia Tech W 50-47"
2015,11,3,Gonzaga,18-1,"1,467",3,--,"  vs Saint Mary's W 68-47,  vs Pacific W 91-60"
2015,11,4,Villanova,17-1,"1,429",5,1,"  @ Georgetown L 78-58,  vs Creighton W 71-50"
2015,11,5,Duke,15-2,"1,345",4,1,"  vs Pitt W 79-65,  @ St John's W 77-68"
2015,11,6,Wisconsin,16-2,"1,282",7,1,"  vs Iowa W 82-50,  @ Michigan W 69-64"
2015,11,7,Arizona,16-2,"1,228",10,3,"  @ Stanford W 89-82,  @ Cal W 73-50"
2015,11,8,Notre Dame,17-2,"1,055",12,4,"  @ Virginia Tech W 85-60,  @ NC State W 81-78"
2015,11,9,Iowa State,13-3,"1,004",11,2,"  vs Kansas State W 77-71,  @ Texas Tech L 78-73"
2015,11,10,Louisville,15-3,"1,003",6,4,  @ Pitt W 80-68
2015,11,11,Kansas,14-3,943,9,2,"  vs Oklahoma W 85-78,  @ Texas W 75-62"
2015,11,12,Utah,14-3,940,8,4,"  vs Washington St W 86-64,  vs Washington W 77-56"
2015,11,13,Maryland,17-2,937,14,1,"  @ Indiana L 89-70,  vs Northwestern W 68-67"
2015,11,14,Wichita St,16-2,857,13,1,"  @ Missouri State W 76-53,  vs Drake W 74-40"
2015,11,15,North Carolina,14-4,803,15,--,"  @ Wake Forest W 87-71,  vs FSU W 78-74"
2015,11,16,VCU,15-3,670,17,1,  @ Saint Louis W 63-61
2015,11,17,Texas,13-4,554,20,3,"  @ TCU W 66-48,  vs Kansas L 75-62"
2015,11,18,West Virginia,15-3,501,16,2,  vs TCU W 86-85
2015,11,19,Oklahoma,12-5,445,18,1,"  @ Kansas L 85-78,  @ Baylor L 69-58"
2015,11,20,Northern Iowa,16-2,387,23,3,"  vs Indiana State W 66-60,  @ Illinois State W 54-53"
2015,11,21,Baylor,13-4,260,22,1,"  vs Huston-Tillotson W 81-61,  vs Oklahoma W 69-58"
2015,11,22,Dayton,15-2,241,NR,4,"  @ Davidson L 77-60,  vs Richmond W 63-60"
2015,11,23,Indiana,14-4,93,NR,3,"  vs Maryland W 89-70,  @ OSU L 82-70"
2015,11,24,Seton Hall,13-4,91,21,3,"  vs DePaul L 64-60,  @ Butler L 77-57"
2015,11,25,Iowa,13-5,85,NR,1,"  @ Wisconsin L 82-50,  @ Purdue L 67-63"
2015,12,1,Kentucky (64),19-0,"1,624",1,--,"  @ Missouri W 69-53,  vs Alabama W 70-55"
2015,12,2,Virginia (1),19-0,"1,561",2,--,  vs Duke L 69-63
2015,12,3,Gonzaga,20-1,"1,476",3,--,"  vs Portland W 64-46,  vs Memphis W 82-64"
2015,12,4,Duke,17-2,"1,402",5,1,"  @ Notre Dame L 77-73,  @ UVA W 69-63"
2015,12,5,Wisconsin,18-2,"1,351",6,1,  @ Iowa W 74-63
2015,12,6,Arizona,18-2,"1,300",7,1,"  vs Oregon W 90-56,  vs Oregon State W 57-34"
2015,12,7,Villanova,18-2,"1,187",4,3,  @ DePaul W 68-55
2015,12,8,Notre Dame,19-2,"1,139",8,--,"  vs Duke W 77-73,  @ Pitt L 76-72"
2015,12,9,Kansas,16-3,"1,120",11,2,"  @ TCU W 64-61,  vs Kansas State W 68-57"
2015,12,10,Louisville,16-3,"1,027",10,--,"  @ Boston College W 81-72,  vs UNC W 78-68"
2015,12,11,Utah,16-3,996,12,1,"  @ UCLA L 69-59,  @ USC W 67-39"
2015,12,12,Wichita St,18-2,893,14,2,"  vs Loyola (CHI) W 58-47,  @ Northern Iowa L 70-54"
2015,12,13,North Carolina,16-4,878,15,2,"  vs Syracuse W 93-83,  @ Louisville L 78-68"
2015,12,14,VCU,16-3,734,16,2,"  vs G Washington W 72-48,  vs Richmond L 64-55"
2015,12,15,Iowa State,14-4,719,9,6,"  vs Texas W 89-86,  vs TCU W 83-66"
2015,12,16,Maryland,18-3,715,13,3,  @ OSU L 80-56
2015,12,17,West Virginia,16-3,558,18,1,"  @ Kansas State W 65-59,  vs Texas Tech W 77-58"
2015,12,18,Northern Iowa,18-2,440,20,2,"  @ S Illinois W 59-52,  vs Wichita State W 70-54"
2015,12,19,Texas,14-5,431,17,2,"  @ Iowa State L 89-86,  @ Baylor L 83-60"
2015,12,20,Baylor,15-4,407,21,1,"  @ Oklahoma State L 64-53,  vs Texas W 83-60"
2015,12,21,Georgetown,14-5,334,NR,5,"  vs Xavier L 66-53,  @ Creighton W 67-40"
2015,12,22,Indiana,15-5,165,23,1,"  @ Purdue L 83-67,  vs Rutgers W 72-64"
2015,12,23,Miami,14-5,164,NR,3,"  vs Georgia Tech L 70-50,  @ FSU L 55-54"
2015,12,24,Oklahoma,12-7,90,19,5,"  vs Texas Tech W 81-36,  @ Oklahoma State W 64-56"
2015,12,25,Butler,15-6,70,NR,1,  @ Marquette W 72-68
2015,13,1,Kentucky (65),21-0,"1,625",1,--,"  vs Georgia W 69-58,  @ Florida W 68-61"
2015,13,2,Gonzaga,22-1,"1,503",3,1,"  @ Santa Clara W 77-63,  @ San Francisco W 81-70"
2015,13,3,Virginia,19-1,"1,470",2,1,"  @ UNC W 75-64,  vs Louisville W 52-47"
2015,13,4,Duke,18-3,"1,416",4,--,"  vs Georgia Tech W 72-66,  vs Notre Dame W 90-60"
2015,13,5,Wisconsin,19-2,"1,381",5,--,"  vs Indiana W 92-78,  vs Northwestern W 65-50"
2015,13,6,Arizona,20-2,"1,338",6,--,  @ Arizona State L 81-78
2015,13,7,Villanova,19-2,"1,209",7,--,"  vs Marquette W 70-52,  vs Georgetown W 69-53"
2015,13,8,Kansas,18-3,"1,177",9,1,"  vs Iowa State W 89-76,  @ Oklahoma State L 67-62"
2015,13,9,Louisville,18-3,"1,114",10,1,"  @ Miami W 63-55,  @ UVA L 52-47"
2015,13,10,Notre Dame,20-3,"1,072",8,2,"  vs Boston College W 71-63,  @ Duke L 90-60"
2015,13,11,Iowa State,16-4,892,15,4,"  @ Kansas L 89-76,  vs Texas Tech W 75-38"
2015,13,12,North Carolina,17-5,861,13,1,"  vs UVA L 75-64,  @ Boston College W 79-68"
2015,13,13,Utah,17-4,824,11,2,  @ Colorado W 79-51
2015,13,14,Northern Iowa,20-2,792,18,4,"  @ Indiana State W 61-51,  vs Drake W 69-53"
2015,13,15,West Virginia,18-3,779,17,2,"  @ Oklahoma L 71-52,  vs Baylor L 87-69"
2015,13,16,Wichita St,19-3,678,12,4,"  @ Bradley W 62-59,  vs Missouri State W 78-35"
2015,13,17,Maryland,18-4,508,16,1,"  vs Penn State W 64-58,  @ Iowa L 71-55"
2015,13,18,VCU,17-4,479,14,4,"  @ George Mason W 72-60,  @ St Bonaventure L 73-71"
2015,13,19,Baylor,16-5,420,20,1,"  vs TCU W 77-57,  @ West Virginia W 87-69"
2015,13,20,Ohio State,17-5,358,NR,6,"  @ Purdue L 60-58,  @ Rutgers W 79-60"
2015,13,21,Oklahoma,14-7,312,24,3,"  vs West Virginia W 71-52,  @ TCU W 68-56"
2015,13,22,Butler,16-6,250,25,3,"  vs St John's W 85-62,  vs DePaul W 83-73"
2015,13,23,SMU,18-4,221,NR,3,"  vs Cincinnati L 62-54,  @ Tulsa W 68-57"
2015,13,24,Georgetown,15-6,162,21,3,"  vs Providence L 74-71,  @ Villanova L 69-53"
2015,13,25,Texas,14-7,106,19,6,"  vs Oklahoma State L 65-63,  @ Kansas State W 61-57"
2015,14,1,Kentucky (65),23-0,"1,625",1,--,"  @ LSU W 71-69,  vs South Carolina W 77-43"
2015,14,2,Virginia,21-1,"1,518",3,1,"  @ NC State W 51-47,  vs Wake Forest W 61-60"
2015,14,3,Gonzaga,24-1,"1,486",2,1,"  vs Loyola Mary W 80-51,  vs Pepperdine W 56-48"
2015,14,4,Duke,20-3,"1,450",4,--,"  @ FSU W 73-70,  @ Syracuse W 80-72"
2015,14,5,Wisconsin,21-2,"1,385",5,--,"  @ Nebraska W 65-55,  vs Illinois W 68-49"
2015,14,6,Villanova,21-2,"1,294",7,1,"  @ Providence W 74-68,  @ Butler W 68-65"
2015,14,7,Arizona,20-3,"1,185",6,1,"  @ Washington W 86-62,  @ Washington St W 86-59"
2015,14,8,Kansas,19-4,"1,171",8,--,"  @ Texas Tech W 73-51,  vs Baylor W 74-64"
2015,14,9,Louisville,19-4,"1,120",9,--,"  vs Pitt W 69-56,  vs NC State L 74-65"
2015,14,10,Notre Dame,21-4,948,10,--,  @ Clemson W 60-58
2015,14,11,Utah,18-4,946,13,2,"  vs Stanford W 75-59,  vs Cal W 76-61"
2015,14,12,North Carolina,18-6,871,12,--,  @ Pitt L 89-76
2015,14,13,Northern Iowa,22-2,846,14,1,"  vs Illinois State W 83-64,  @ Missouri State W 68-57"
2015,14,14,Iowa State,17-5,842,11,3,"  @ Oklahoma L 94-83,  vs West Virginia W 79-59"
2015,14,15,Wichita St,21-3,743,16,1,"  vs Indiana State W 74-57,  @ Illinois State W 68-62"
2015,14,16,Baylor,18-5,694,19,3,"  vs Oklahoma State L 74-65,  @ Kansas L 74-64"
2015,14,17,Oklahoma,16-7,565,21,4,"  vs Iowa State W 94-83,  @ Kansas State L 59-56"
2015,14,18,Butler,18-6,462,22,4,  vs Villanova L 68-65
2015,14,19,Maryland,19-5,347,17,2,"  vs Indiana W 68-66,  @ Penn State W 76-73"
2015,14,20,VCU,18-5,296,18,2,"  vs La Salle L 74-69,  @ G Washington W 79-66"
2015,14,21,Oklahoma State,16-7,273,NR,5,"  @ Baylor W 74-65,  @ TCU L 70-55"
2015,14,22,West Virginia,18-5,273,15,6,"  vs Kansas State W 76-72,  @ Iowa State L 79-59"
2015,14,23,Ohio State,18-6,271,20,3,"  vs Penn State W 75-55,  @ Michigan State L 59-56"
2015,14,24,Arkansas,18-5,221,NR,2,"  @ Auburn W 101-87,  @ Ole Miss W 71-70"
2015,14,25,SMU,19-5,81,23,2,"  @ Houston W 75-69,  vs UConn W 73-55"
2015,15,1,Kentucky (65),25-0,"1,625",1,--,"  @ Tennessee W 66-48,  vs Auburn W 110-75"
2015,15,2,Virginia,23-1,"1,524",2,--,"  vs Pitt W 61-49,  vs FSU W 51-41"
2015,15,3,Gonzaga,26-1,"1,475",3,--,"  @ Pacific W 86-74,  @ Saint Mary's W 70-60"
2015,15,4,Duke,22-3,"1,449",4,--,"  vs UNC W 92-90,  vs Clemson W 78-56"
2015,15,5,Wisconsin,23-2,"1,387",5,--,"  @ Penn State W 55-47,  vs Minnesota W 63-53"
2015,15,6,Villanova,23-2,"1,302",6,--,"  vs Seton Hall W 80-54,  @ Marquette W 87-76"
2015,15,7,Arizona,22-3,"1,213",7,--,"  vs USC W 87-57,  vs UCLA W 57-47"
2015,15,8,Kansas,21-4,"1,195",8,--,"  @ West Virginia L 62-61,  vs TCU W 81-72"
2015,15,9,Utah,20-4,"1,051",11,2,"  @ Oregon State W 47-37,  @ Oregon L 69-58"
2015,15,10,Notre Dame,22-4,"1,038",10,--,"  vs Wake Forest W 88-75,  @ Boston College W 87-70"
2015,15,11,Northern Iowa,24-2,955,13,2,"  @ Loyola (CHI) W 58-39,  vs Bradley W 56-39"
2015,15,12,Louisville,20-5,882,9,3,"  @ Syracuse L 69-59,  vs Miami W 55-53"
2015,15,13,Wichita St,23-3,862,15,2,"  @ S Illinois W 84-62,  vs Evansville W 62-43"
2015,15,14,Iowa State,18-6,761,14,--,"  @ Oklahoma State W 70-65,  @ Texas W 85-77"
2015,15,15,North Carolina,18-7,658,12,3,"  @ Duke L 92-90,  vs Georgia Tech W 89-60"
2015,15,16,Maryland,21-5,640,19,3,  vs Nebraska W 69-65
2015,15,17,Oklahoma,17-8,554,17,--,"  vs Texas W 71-69,  @ Texas Tech W 79-75"
2015,15,18,Arkansas,20-5,476,24,6,"  vs Missouri W 84-69,  @ Miss St W 65-61"
2015,15,19,Butler,18-7,456,18,1,"  @ Creighton W 58-56,  @ Xavier L 73-56"
2015,15,20,Baylor,18-7,364,16,4,"  @ Texas Tech W 54-49,  vs Kansas State W 69-42"
2015,15,21,SMU,21-5,299,25,4,  vs Temple W 67-58
2015,15,22,Oklahoma State,17-8,240,21,1,"  vs Iowa State L 70-65,  vs West Virginia L 73-63"
2015,15,23,West Virginia,19-6,154,21,2,"  vs Kansas W 62-61,  @ Oklahoma State W 73-63"
2015,15,24,Ohio State,19-7,139,23,1,  @ Michigan L 64-57
2015,15,25,VCU,19-6,109,20,5,"  vs Saint Louis W 74-54,  vs UMass W 78-72"
2015,16,1,Kentucky (65),27-0,"1,625",1,--,"  @ Miss St W 74-56,  vs Arkansas W 84-67"
2015,16,2,Virginia,25-1,"1,526",2,--,"  @ Wake Forest W 70-34,  vs Virginia Tech W 69-57"
2015,16,3,Gonzaga,28-1,"1,471",3,--,"  vs San Diego W 59-39,  vs BYU L 73-70"
2015,16,4,Duke,24-3,"1,448",4,--,"  @ Virginia Tech W 91-86,  vs Syracuse W 73-54"
2015,16,5,Wisconsin,25-2,"1,390",5,--,"  @ Maryland L 59-53,  vs Michigan State W 68-61"
2015,16,6,Villanova,25-2,"1,306",6,--,"  vs Providence W 89-61,  @ Xavier W 78-66"
2015,16,7,Arizona,24-3,"1,228",7,--,"  @ Colorado W 82-54,  @ Utah W 63-57"
2015,16,8,Kansas,22-5,"1,111",8,--,"  @ Kansas State L 70-63,  vs Texas W 69-64"
2015,16,9,Notre Dame,24-4,"1,109",10,1,  vs Syracuse L 65-60
2015,16,10,Northern Iowa,26-2,"1,032",11,1,"  vs Evansville W 68-57,  @ Wichita State L 74-60"
2015,16,11,Wichita St,25-3,930,13,2,"  @ Indiana State W 63-53,  vs Northern Iowa W 74-60"
2015,16,12,Iowa State,20-6,887,14,2,"  vs Baylor L 79-70,  @ Kansas State L 70-69"
2015,16,13,Utah,21-5,876,9,4,"  vs Arizona State W 83-41,  vs Arizona L 63-57"
2015,16,14,Maryland,22-5,695,16,2,"  vs Wisconsin W 59-53,  vs Michigan W 66-56"
2015,16,15,North Carolina,19-8,655,15,--,"  vs NC State L 58-46,  @ Miami W 73-64"
2015,16,16,Oklahoma,19-8,622,17,1,  vs TCU W 67-60
2015,16,17,Louisville,21-6,613,12,5,"  @ Georgia Tech W 52-51,  @ FSU W 81-59"
2015,16,18,Arkansas,22-5,564,18,--,"  vs Texas A&M; W 81-75,  @ Kentucky L 84-67"
2015,16,19,Baylor,20-7,473,20,1,"  @ Iowa State W 79-70,  vs West Virginia W 78-66"
2015,16,20,West Virginia,21-6,453,23,3,"  vs Texas W 71-64,  @ Baylor L 78-66"
2015,16,21,SMU,22-5,357,21,--,"  @ Memphis W 66-57,  @ UConn L 81-73"
2015,16,22,VCU,21-6,182,25,3,"  @ Richmond L 67-63,  vs Dayton L 59-55"
2015,16,23,Butler,19-8,165,19,4,"  vs Marquette W 73-52,  @ DePaul W 67-53"
2015,16,24,San Diego State,22-6,117,NR,2,  vs Boise State L 56-46
2015,16,25,Providence,19-8,72,NR,1,"  @ Villanova L 89-61,  vs Marquette W 77-66"
2015,17,1,Kentucky (65),29-0,"1,625",1,--,"  @ Georgia W 72-64,  vs Florida W 67-50"
2015,17,2,Virginia,27-1,"1,547",2,--,"  @ Syracuse W 59-47,  @ Louisville L 59-57"
2015,17,3,Duke,26-3,"1,501",4,1,"  vs Wake Forest W 94-51,  @ UNC W 84-77"
2015,17,4,Villanova,27-2,"1,417",6,2,"  @ Creighton W 76-72,  vs St John's W 105-68"
2015,17,5,Arizona,26-3,"1,338",7,2,"  vs Cal W 99-60,  vs Stanford W 91-69"
2015,17,6,Wisconsin,26-3,"1,318",5,1,"  @ Minnesota W 76-63,  @ OSU W 72-48"
2015,17,7,Gonzaga,29-2,"1,244",3,4,  vs San Francisco W 81-72
2015,17,8,Wichita St,27-3,"1,104",11,3,"  vs S Illinois W 56-45,  vs Illinois State L 65-62"
2015,17,9,Kansas,23-6,"1,087",8,1,"  vs West Virginia W 76-69,  @ Oklahoma L 75-73"
2015,17,10,Maryland,24-5,"1,035",14,4,"  @ Rutgers W 60-50,  @ Nebraska W 64-61"
2015,17,11,Northern Iowa,27-3,908,10,1,"  vs Bradley W 71-46,  vs Loyola (CHI) W 63-49,  vs Illinois State W 69-60"
2015,17,12,Notre Dame,24-5,879,9,3,"  @ Louisville W 71-59,  vs Clemson W 81-67"
2015,17,13,Utah,22-6,823,13,--,"  @ Washington St W 67-59,  @ Washington L 77-68"
2015,17,14,Baylor,22-7,801,19,5,"  @ Texas L 61-59,  vs Texas Tech W 77-74"
2015,17,15,Oklahoma,20-8,759,16,1,"  @ Iowa State L 77-70,  vs Kansas W 75-73"
2015,17,16,Louisville,23-6,728,17,1,"  vs Notre Dame L 71-59,  vs UVA W 59-57"
2015,17,17,Iowa State,20-8,536,12,5,"  vs Oklahoma W 77-70,  @ TCU W 89-76"
2015,17,18,Arkansas,23-6,515,18,--,"  @ South Carolina W 78-74,  vs LSU L 81-78"
2015,17,19,North Carolina,20-9,435,15,4,"  @ Georgia Tech W 81-49,  vs Duke L 84-77"
2015,17,20,West Virginia,22-7,389,20,--,"  @ Kansas L 76-69,  vs Oklahoma State W 81-72"
2015,17,21,Butler,21-8,359,23,2,"  vs Georgetown L 60-54,  @ Providence W 68-64"
2015,17,22,SMU,23-6,210,21,1,  vs Tulsa W 67-62
2015,17,23,Ohio State,21-8,114,NR,3,"  @ Penn State W 77-67,  vs Wisconsin L 72-48"
2015,17,24,Providence,20-9,91,25,1,"  @ Seton Hall W 79-66,  vs Butler L 68-64"
2015,17,25,Murray State,26-4,79,NR,1,"  vs Morehead State W 80-77,  vs Belmont L 88-87"
2015,18,1,Kentucky (65),31-0,"1,625",1,--,"  vs Florida W 64-49,  vs Auburn W 91-67,  vs Arkansas W 78-63"
2015,18,2,Duke,28-3,"1,544",3,1,"  vs NC State W 77-53,  vs Notre Dame L 74-64"
2015,18,3,Virginia,28-2,"1,454",2,1,"  vs FSU W 58-44,  vs UNC L 71-67"
2015,18,4,Villanova,29-2,"1,444",4,--,"  vs Marquette W 84-49,  vs Providence W 63-61,  vs Xavier W 69-52"
2015,18,5,Arizona,28-3,"1,360",5,--,"  vs Cal W 73-51,  vs UCLA W 70-64,  vs Oregon W 80-52"
2015,18,6,Wisconsin,28-3,"1,344",6,--,"  vs Michigan W 71-60,  vs Purdue W 71-51,  vs Michigan State W 80-69"
2015,18,7,Gonzaga,30-2,"1,229",7,--,"  vs Pepperdine W 79-61,  vs BYU W 91-75"
2015,18,8,Maryland,26-5,"1,103",10,2,"  vs Indiana W 75-69,  vs Michigan State L 62-58"
2015,18,9,Kansas,24-7,"1,040",9,--,"  vs TCU W 64-59,  vs Baylor W 62-52,  vs Iowa State L 70-66"
2015,18,10,Northern Iowa,30-3,"1,037",11,1, No Games Scheduled
2015,18,11,Notre Dame,26-5,"1,026",12,1,"  vs Miami W 70-63,  @ Duke W 74-64,  vs UNC W 90-82"
2015,18,12,Wichita St,28-4,797,8,4, No Games Scheduled
2015,18,13,Iowa State,22-8,786,17,4,"  vs Texas W 69-67,  vs Oklahoma W 67-65,  @ Kansas W 70-66"
2015,18,14,Louisville,24-7,780,16,2,  vs UNC L 70-60
2015,18,15,Oklahoma,21-9,772,15,--,"  vs Oklahoma State W 64-49,  @ Iowa State L 67-65"
2015,18,16,Baylor,23-8,701,14,2,"  vs West Virginia W 80-70,  @ Kansas L 62-52"
2015,18,17,Utah,23-7,587,13,4,"  vs Stanford W 80-56,  @ Oregon L 67-64"
2015,18,18,West Virginia,23-8,525,20,2,  @ Baylor L 80-70
2015,18,19,North Carolina,21-10,406,19,--,"  vs Boston College W 81-63,  @ Louisville W 70-60,  @ UVA W 71-67,  @ Notre Dame L 90-82"
2015,18,20,SMU,24-6,339,22,2,"  vs ECU W 74-68,  vs Temple W 69-56,  vs UConn W 62-54"
2015,18,21,Arkansas,24-7,300,18,3,"  vs Tennessee W 80-72,  vs Georgia W 60-49,  @ Kentucky L 78-63"
2015,18,22,Butler,22-9,287,21,1,  vs Xavier L 67-61
2015,18,23,Georgetown,20-9,223,NR,3,"  vs Creighton W 60-55,  vs Xavier L 65-63"
2015,18,24,Davidson,23-6,99,NR,2,"  vs La Salle W 67-66,  vs VCU L 93-73"
2015,18,25,Boise State,24-7,82,NR,1,"  vs Air Force W 80-68,  vs Wyoming L 71-66"
2014,1,1,Kentucky (27),0-0,"1,546",NR,25,"  vs UNC Asheville W 89-57,  vs N Kentucky W 93-63"
2014,1,2,Michigan State (22),0-0,"1,543",9,7,  vs McNeese State W 98-56
2014,1,3,Louisville (14),0-0,"1,501",2,1,  vs Charleston W 70-48
2014,1,4,Duke (2),0-0,"1,435",6,2,  vs Davidson W 111-77
2014,1,5,Kansas,0-0,"1,357",3,2,  vs UL Monroe W 80-63
2014,1,6,Arizona,0-0,"1,311",21,15,  vs Cal Poly W 73-62
2014,1,7,Michigan,0-0,"1,120",10,3,  vs UMass Lowell W 69-42
2014,1,8,Oklahoma State,0-0,"1,093",17,9,  vs Miss Valley St W 117-62
2014,1,9,Syracuse,0-0,"1,093",16,8,  vs Cornell W 82-60
2014,1,10,Florida,0-0,"1,048",14,4,  vs North Florida W 77-69
2014,1,11,Ohio State,0-0,"1,036",7,4,  vs Morgan State W 89-50
2014,1,12,North Carolina,0-0,954,NR,14,  vs Oakland W 84-61
2014,1,13,Memphis,0-0,741,19,6, No games scheduled.
2014,1,14,VCU,0-0,680,NR,12,  vs Illinois State W 96-58
2014,1,15,Gonzaga,0-0,538,1,14,  vs Bryant W 100-76
2014,1,16,Wichita St,0-0,512,NR,10,  vs Emporia St W 93-50
2014,1,17,Marquette,0-0,510,15,2,  vs Southern W 63-56
2014,1,18,Connecticut,0-0,448,NR,8,  @ Maryland W 78-77
2014,1,19,Oregon,0-0,408,25,6,  vs Georgetown W 82-75
2014,1,20,Wisconsin,0-0,338,18,2,  vs St John's W 86-75
2014,1,21,Notre Dame,0-0,332,23,2,"  vs Miami (OH) W 74-62,  vs Stetson W 80-49"
2014,1,22,UCLA,0-0,244,24,2,  vs Drexel W 72-67
2014,1,23,New Mexico,0-0,213,10,13,  vs Alabama A&M; W 88-52
2014,1,24,Virginia,0-0,189,NR,2,  vs JMU W 61-41
2014,1,25,Baylor,0-0,180,NR,1,  vs Colorado W 72-60
2014,2,1,Kentucky (28),2-0,"1,552",1,--,"  vs Michigan State L 78-74,  vs Robert Morris W 87-49"
2014,2,2,Michigan State (22),1-0,"1,549",2,--,"  @ Kentucky W 78-74,  vs Columbia W 62-53"
2014,2,3,Louisville (12),1-0,"1,494",3,--,"  vs Hofstra W 97-69,  vs Cornell W 99-54"
2014,2,4,Duke (3),1-0,"1,454",4,--,"  vs Kansas L 94-83,  vs FAU W 97-64"
2014,2,5,Kansas,1-0,"1,358",5,--,  @ Duke W 94-83
2014,2,6,Arizona,1-0,"1,291",6,--,"  vs LBSU W 91-57,  @ San Diego State W 69-60"
2014,2,7,Michigan,1-0,"1,154",7,--,"  vs S Carolina St W 93-59,  @ Iowa State L 77-70"
2014,2,8,Oklahoma State,1-0,"1,124",8,--,"  vs Utah Valley W 93-40,  vs AR-Pine Bluff W 97-63"
2014,2,9,Syracuse,1-0,"1,087",8,1,"  vs Fordham W 89-74,  vs Colgate W 69-50"
2014,2,10,Ohio State,1-0,"1,033",11,1,"  vs Ohio W 79-69,  @ Marquette W 52-35"
2014,2,11,Florida,1-0,995,10,1,"  @ Wisconsin L 59-53,  vs AR-Little Rock W 86-56"
2014,2,12,North Carolina,1-0,950,12,--,"  vs Holy Cross W 62-54,  vs Belmont L 83-80"
2014,2,13,Memphis,0-0,743,13,--,  vs Austin Peay W 95-69
2014,2,14,VCU,1-0,708,14,--,"  @ UVA W 59-56,  vs Winthrop W 92-71"
2014,2,15,Gonzaga,1-0,561,15,--,"  vs Colorado State W 93-61,  vs Oakland W 82-67"
2014,2,16,Wichita St,1-0,555,16,--,"  vs W Kentucky W 66-49,  vs William & Mary W 79-62,  vs Tennessee St W 85-71"
2014,2,17,Marquette,1-0,491,17,--,"  vs Grambling St W 114-71,  vs OSU L 52-35"
2014,2,18,Oregon,1-0,484,19,1,  vs W Carolina W 107-83
2014,2,19,Connecticut,1-0,441,18,1,"  vs Yale W 80-62,  vs Detroit W 101-55,  vs Boston U W 77-60"
2014,2,20,Wisconsin,1-0,357,20,--,"  vs Florida W 59-53,  @ Green Bay W 69-66"
2014,2,21,Notre Dame,2-0,328,21,--,  vs Indiana State L 83-70
2014,2,22,New Mexico,1-0,240,23,1,  vs Charleston So W 109-93
2014,2,23,Baylor,1-0,235,25,2,"  vs South Carolina W 66-64,  vs LA-Lafayette W 87-68"
2014,2,24,UCLA,1-0,196,22,2,  vs Oakland W 91-60
2014,2,25,Virginia,1-0,170,24,1,"  vs VCU L 59-56,  @ Davidson W 70-57"
2014,3,1,Michigan State (51),3-0,"1,608",2,1,"  vs Portland W 82-67,  vs Virginia Tech W 96-77,  vs Oklahoma W 87-76"
2014,3,2,Kansas (7),2-0,"1,523",5,3,"  vs Iona W 86-66,  vs Towson W 88-58"
2014,3,3,Louisville (7),3-0,"1,511",3,--,"  vs Hartford W 87-48,  @ Fairfield W 71-57,  vs UNC L 93-84"
2014,3,4,Kentucky,3-1,"1,410",1,3,  vs UT-Arlington W 105-76
2014,3,5,Arizona,3-0,"1,339",6,1,"  vs Fair Dickinson W 100-50,  vs URI W 87-59"
2014,3,6,Duke,2-1,"1,320",4,2,"  vs UNC Asheville W 91-55,  vs ECU W 83-74,  vs Vermont W 91-90"
2014,3,7,Oklahoma State,3-0,"1,198",8,1,  vs Memphis W 101-80
2014,3,8,Ohio State,3-0,"1,172",10,2,  vs American U W 63-52
2014,3,9,Syracuse,3-0,"1,135",9,--,  vs St Francis (BKN) W 56-50
2014,3,10,VCU,3-0,928,14,4,"  vs FSU L 85-67,  vs LBSU W 73-67,  vs Georgetown L 84-80"
2014,3,11,Memphis,1-0,871,13,2,"  @ Oklahoma State L 101-80,  vs Nicholls State W 98-59"
2014,3,12,Wisconsin,3-0,763,20,8,"  vs North Dakota W 103-85,  vs Bowling Green W 88-64,  vs Oral Roberts W 76-67"
2014,3,13,Gonzaga,3-0,710,15,2,  vs Washington St W 90-74
2014,3,14,Michigan,2-1,705,7,7,"  vs LBSU W 85-61,  @ FSU W 82-80,  vs Charlotte L 63-61"
2014,3,15,Wichita St,4-0,705,16,2,  @ Tulsa W 77-54
