YEAR,WEEK,RK,TEAM,RECORD,PTS,PREV,TRENDING,GAMES
2009,17,15,Missouri,24-5,795,11,4,"  vs Oklahoma W 73-64,  @ Texas A&M; L 96-86"
2009,17,16,Washington,22-7,704,21,5,"  vs Seattle W 87-60,  vs Washington St W 67-60"
2009,17,17,Xavier,23-5,629,19,2,"  vs Dayton W 76-59,  @ Richmond L 80-75"
2009,17,18,Clemson,22-6,564,12,6,"  vs UVA W 75-57,  @ Wake Forest L 96-88"
2009,17,19,Purdue,22-7,545,16,3,"  vs Northwestern L 64-61,  @ Michigan State L 62-51"
2009,17,20,UCLA,22-7,497,22,2,"  vs Oregon State W 79-54,  vs Oregon W 94-68"
2009,17,21,Arizona State,21-7,347,14,7,"  vs Stanford L 74-64,  vs Cal W 83-66"
2009,17,22,Butler,25-4,302,24,2,  vs Wright State W 62-57
2009,17,23,Illinois,23-7,287,20,3,  @ Penn State L 64-63
2009,17,24,Florida State,22-7,272,23,1,"  @ Duke L 84-81,  vs Virginia Tech W 63-53"
2009,17,25,Syracuse,21-8,99,NR,1,"  vs Rutgers W 70-40,  @ Marquette W 86-79"
2009,18,1,North Carolina (35),27-3,"1,734",2,1,"  vs Virginia Tech W 79-76,  vs FSU L 73-70"
2009,18,2,Pittsburgh (33),28-3,"1,731",3,1,  vs West Virginia L 74-60
2009,18,3,Connecticut,27-3,"1,592",1,2,  vs Syracuse L 127-117
2009,18,4,Memphis (2),28-3,"1,544",5,1,"  vs Tulane W 51-41,  vs Houston W 74-49,  vs Tulsa W 64-39"
2009,18,5,Louisville (1),25-5,"1,513",6,1,"  vs Providence W 73-55,  vs Villanova W 69-55,  vs Syracuse W 76-66"
2009,18,6,Oklahoma,27-4,"1,399",4,2,  vs Oklahoma State L 71-70
2009,18,7,Michigan State,25-5,"1,349",8,1,"  vs Minnesota W 64-56,  vs OSU L 82-70"
2009,18,8,Wake Forest,24-5,"1,246",10,2,  vs Maryland L 75-64
2009,18,9,Duke,25-6,"1,237",7,2,"  vs Boston College W 66-65,  vs Maryland W 67-61,  vs FSU W 79-69"
2009,18,10,Villanova,25-6,"1,108",11,1,"  vs Marquette W 76-75,  @ Louisville L 69-55"
2009,18,11,Kansas,25-6,"1,038",9,2,  vs Baylor L 71-64
2009,18,12,Gonzaga,25-5,978,14,2,  vs Saint Mary's W 83-58
2009,18,13,Washington,24-7,910,16,3,"  vs Stanford W 85-73,  vs Arizona State L 75-65"
2009,18,14,Missouri,25-6,779,15,1,"  vs Texas Tech W 81-60,  vs Oklahoma State W 67-59,  vs Baylor W 73-60"
2009,18,15,UCLA,24-7,752,20,5,"  vs Washington St W 64-53,  vs USC L 65-55"
2009,18,16,Butler,26-4,536,22,6,  vs Cleveland State L 57-54
2009,18,17,Clemson,23-7,528,18,1,  vs Georgia Tech L 86-81
2009,18,18,Syracuse,23-8,518,25,7,"  vs Seton Hall W 89-74,  @ UConn W 127-117,  vs West Virginia W 74-69,  @ Louisville L 76-66"
2009,18,19,Xavier,24-6,465,17,2,"  vs Saint Louis W 66-47,  vs Temple L 55-53"
2009,18,20,LSU,25-6,461,12,8,"  vs Kentucky W 67-58,  vs Miss St L 67-57"
2009,18,21,Marquette,23-8,453,13,8,"  vs St John's W 74-45,  @ Villanova L 76-75"
2009,18,22,Florida State,23-8,333,24,2,"  vs Georgia Tech W 64-62,  @ UNC W 73-70,  @ Duke L 79-69"
2009,18,23,Arizona State,22-8,199,21,2,"  vs Arizona W 68-56,  @ Washington W 75-65,  vs USC L 66-63"
2009,18,24,Purdue,22-9,169,19,5,"  vs Penn State W 79-65,  @ Illinois W 66-56,  vs OSU W 65-61"
2009,18,25,BYU,24-6,158,NR,1,"  vs Air Force W 80-69,  vs San Diego State L 64-62"
2009,18,26,Utah,21-9,21,NR,1,"  vs TCU W 61-58,  vs Wyoming W 68-55,  vs San Diego State W 52-50"
2008,1,1,North Carolina (29),0-0,"1,728",4,3, No games scheduled.
2008,1,2,UCLA (24),0-0,"1,710",7,5,  vs Portland State W 69-48
2008,1,3,Memphis (18),0-0,"1,680",5,2,"  vs UT Martin W 102-71,  vs Richmond W 80-63"
2008,1,4,Kansas,0-0,"1,568",2,2,"  vs UL Monroe W 107-78,  vs UMKC W 85-62"
2008,1,5,Georgetown (1),0-0,"1,504",8,3,  vs William & Mary W 68-53
2008,1,6,Louisville,0-0,"1,380",16,10, No games scheduled.
2008,1,7,Tennessee,0-0,"1,371",25,18,  vs Temple W 80-63
2008,1,8,Michigan State,0-0,"1,296",NR,18, No games scheduled.
2008,1,9,Indiana,0-0,"1,145",NR,17, No games scheduled.
2008,1,10,Washington State,0-0,"1,103",13,3,  vs E Washington W 68-41
2008,1,11,Marquette,0-0,"1,002",20,9,  vs IUPUI W 76-68
2008,1,12,Oregon,0-0,918,10,2,"  vs Pepperdine W 100-70,  vs Pacific W 80-64"
2008,1,13,Duke,0-0,868,NR,13,  vs NC Central W 121-56
2008,1,14,Gonzaga,0-0,711,NR,12,  vs Montana W 77-54
2008,1,15,Texas,0-0,638,11,4, No games scheduled.
2008,1,16,Texas A&M;,0-0,623,9,7,  vs McNeese State W 73-50
2008,1,17,Arizona,0-0,499,NR,9, No games scheduled.
2008,1,18,USC,0-0,480,23,5,  vs Mercer L 96-81
2008,1,19,Arkansas,0-0,468,NR,7,  vs Wofford W 67-45
2008,1,20,Kentucky,0-0,372,NR,6,"  vs Cent Arkansas W 67-40,  vs Gardner-Webb L 84-68"
2008,1,21,NC State,0-0,338,NR,5, No games scheduled.
2008,1,22,Pittsburgh,0-0,293,12,10,"  vs Houston Baptist W 103-62,  vs NC A&T; W 88-61,  vs Saint Louis W 69-58"
2008,1,23,Stanford,0-0,290,NR,3,"  vs Harvard W 111-56,  vs Northwestern St W 97-58,  vs UCSB W 67-48"
2008,1,24,Southern Illinois,0-0,222,14,10, No games scheduled.
2008,1,25,Kansas State,0-0,216,NR,1,"  vs Sacramento St W 94-63,  vs Pitt. St. W 76-66"
2008,2,1,North Carolina (29),0-0,"1,737",1,--,"  @ Davidson W 72-68,  vs Iona W 107-72"
2008,2,2,UCLA (24),1-0,"1,710",2,--,"  vs Youngstown St W 83-52,  vs Cal St-San Bernardino W 76-41"
2008,2,3,Memphis (18),2-0,"1,686",3,--,"  @ Oklahoma W 63-53,  @ UConn W 81-70"
2008,2,4,Kansas,2-0,"1,566",4,--,  vs Washburn W 92-60
2008,2,5,Georgetown (1),1-0,"1,503",5,--,  vs Michigan W 74-52
2008,2,6,Louisville,0-0,"1,394",6,--,"  vs Hartford W 104-69,  vs Jackson State W 84-53"
2008,2,7,Tennessee,1-0,"1,386",7,--,"  vs Ark Monticello W 101-44,  vs PV A&M; W 89-75"
2008,2,8,Indiana,0-0,"1,172",9,1,"  vs Chattanooga W 99-79,  vs Longwood W 100-49"
