,Date,Number,Winner,Type,Loser
152,Jul 25th 2015,8,Seth Rollins (c),def. (pin),Dean Ambrose
153,Jul 24th 2015,1,Darren Young (c) & Titus O'Neil (c),def. (pin),Big E & Xavier Woods
154,Jul 24th 2015,2,The Miz,def. (pin),Fandango
155,Jul 24th 2015,3,Curtis Axel & Damien Sandow,def. (pin),Adam Rose & Brad Maddox
156,Jul 24th 2015,4,Luke Harper,def. (pin),Jimmy Uso
157,Jul 24th 2015,5,Randy Orton,def. (pin),Sheamus
158,Jul 24th 2015,6,Alicia Fox & Nikki Bella,def. (pin),Naomi & Sasha Banks
159,Jul 24th 2015,7,Cesaro,def. (sub),Kofi Kingston
160,Jul 24th 2015,8,John Cena (c),def. (pin),Kevin Owens
161,Jul 21st 2015,1,Sheamus,def. (pin),Dean Ambrose
162,Jul 21st 2015,2,Neville,def. (pin),Adam Rose
163,Jul 21st 2015,3,Rusev,def. (CO),Kevin Owens
164,Jul 21st 2015,4,Brie Bella & Nikki Bella,def. (pin),Naomi & Sasha Banks
165,Jul 21st 2015,5,Seth Rollins,def. (pin),Cesaro
166,Jul 21st 2015,1,Jack Swagger,def. (sub),Brad Maddox
167,Jul 21st 2015,2,R-Truth,def. (pin),Bo Dallas
168,Jul 21st 2015,3,Big E & Kofi Kingston,def. (pin),Kalisto & Sin Cara
169,Jul 21st 2015,4,Darren Young & Titus O'Neil,def. (pin),Konnor & Viktor
170,Jul 20th 2015,1,Charlotte,def. (sub),Brie Bella
171,Jul 20th 2015,2,Diego & Fernando,def. (pin),Darren Young & Titus O'Neil
172,Jul 20th 2015,3,The Big Show,def. (pin),The Miz
173,Jul 20th 2015,4,Roman Reigns,def. (DQ),Luke Harper
174,Jul 20th 2015,5,Naomi & Sasha Banks,def. (sub),Becky Lynch & Paige
175,Jul 20th 2015,6,Cesaro & John Cena & Randy Orton,def. (pin),Kevin Owens & Rusev & Sheamus
176,Jul 20th 2015,1,R-Truth,def. (pin),Heath Slater
