,Date,Number,Winner,Type,Loser
1237,Mar 10th 2015,2,Erick Rowan,def. (pin),Curtis Axel
1238,Mar 10th 2015,3,Fandango,def. (pin),Adam Rose
1239,Mar 10th 2015,4,Darren Young & Titus O'Neil,def. (pin),Konnor & Viktor
1240,Mar 10th 2015,5,Bray Wyatt,def. (pin),Zack Ryder
1241,Mar 9th 2015,1,Daniel Bryan,def. (pin),Bad News Barrett
1242,Mar 9th 2015,2,Dean Ambrose,def. (pin),Stardust
1243,Mar 9th 2015,3,Erick Rowan & Ryback,def. (pin),Kane & The Big Show
1244,Mar 9th 2015,4,A. J. Lee,def. (sub),Summer Rae
1245,Mar 9th 2015,5,Rusev,def. (sub),Curtis Axel
1246,Mar 9th 2015,6,Big E & Xavier,def. (pin),Cesaro & Tyson Kidd
1247,Mar 9th 2015,7,Naomi,def. (pin),Natalya
1248,Mar 9th 2015,8,Diego & Fernando,def. (pin),Jey Uso & Jimmy Uso
1249,Mar 9th 2015,9,Roman Reigns,def. (pin),Randy Orton & Seth Rollins
1250,Mar 9th 2015,10,John Cena,def. (pin),Bray Wyatt
1251,Mar 9th 2015,1,Kalisto & Sin Cara,def. (pin),Konnor & Viktor
1252,Mar 9th 2015,2,Zack Ryder,def. (pin),Adam Rose
1253,Mar 8th 2015,1,Goldust,def. (pin),Stardust
1254,Mar 8th 2015,2,Cameron & Emma,def. (pin),Naomi & Summer Rae
1255,Mar 8th 2015,3,Dolph Ziggler,def. (pin),Luke Harper
1256,Mar 8th 2015,4,Daniel Bryan,def. (sub),Kane
1257,Mar 8th 2015,5,Jey Uso & Jimmy Uso,def. (pin),Damien Mizdow & The Miz
1258,Mar 8th 2015,6,Darren Young & Titus O'Neil,def. (pin),"Adam Rose & Curtis Axel, Konnor & Viktor, Diego & Fernando"
1259,Mar 8th 2015,7,Bad News Barrett (c),def. (pin),"R-Truth, Dean Ambrose"
1260,Mar 8th 2015,8,Roman Reigns,def. (pin),The Big Show
1261,Mar 8th 2015,1,Zack Ryder,def. (pin),Fandango
1262,Mar 8th 2015,2,A. J. Lee & Natalya,def. (sub),Brie Bella & Nikki Bella
1263,Mar 8th 2015,3,Cesaro (c) & Tyson Kidd (c),def. (pin),Big E & Kofi Kingston
1264,Mar 8th 2015,4,Randy Orton,def. (pin),Bray Wyatt
1265,Mar 8th 2015,5,Sin Cara,def. (pin),Heath Slater
1266,Mar 8th 2015,6,Ryback,def. (DQ),Rusev (c)
1267,Mar 8th 2015,7,John Cena,def. (pin),Seth Rollins
1268,Mar 7th 2015,1,Zack Ryder,def. (pin),Fandango
1269,Mar 7th 2015,2,A. J. Lee & Natalya,def. (sub),Brie Bella & Nikki Bella
1270,Mar 7th 2015,3,Cesaro (c) & Tyson Kidd (c),def. (pin),Big E & Kofi Kingston
1271,Mar 7th 2015,4,Roman Reigns,def. (pin),The Big Show
1272,Mar 7th 2015,5,Sin Cara,def. (pin),Heath Slater
1273,Mar 7th 2015,6,Randy Orton,def. (pin),Bray Wyatt
1274,Mar 7th 2015,7,John Cena & Ryback,def. (pin),Rusev & Seth Rollins
1275,Mar 7th 2015,1,Goldust,def. (pin),Stardust
1276,Mar 7th 2015,2,Emma & Naomi,def. (pin),Cameron & Summer Rae
1277,Mar 7th 2015,3,Jey Uso & Jimmy Uso,def. (pin),Damien Mizdow & The Miz
1278,Mar 7th 2015,4,Dolph Ziggler,def. (pin),Luke Harper
1279,Mar 7th 2015,5,Darren Young & Titus O'Neil,def. (pin),"Diego & Fernando, Adam Rose & Curtis Axel, Konnor & Viktor"
1280,Mar 7th 2015,6,Bad News Barrett (c),def. (pin),"Dean Ambrose, R-Truth"
1281,Mar 7th 2015,7,Daniel Bryan,def. (pin),Kane
1282,Mar 6th 2015,1,Dean Ambrose,def. (DQ),Bad News Barrett
1283,Mar 6th 2015,2,A. J. Lee & Natalya,def. (sub),Brie Bella & Nikki Bella
1284,Mar 6th 2015,3,Adam Rose & Curtis Axel,def. (pin),"Darren Young & Titus O'Neil, Damien Mizdow & The Miz"
1285,Mar 6th 2015,4,Dolph Ziggler,def. (pin),Luke Harper
1286,Mar 6th 2015,5,Daniel Bryan,def. (pin),Kane
1287,Mar 6th 2015,6,Rusev (c),def. (pin),Ryback
1288,Mar 6th 2015,7,John Cena,def. (pin),Seth Rollins
1289,Mar 3rd 2015,1,Kalisto & Sin Cara,def. (pin),Bo Dallas & Tyler Breeze
1290,Mar 3rd 2015,2,Cesaro (c) & Tyson Kidd (c),def. (pin),Diego & Fernando
1291,Mar 3rd 2015,3,Ryback,def. (pin),Kane
1292,Mar 3rd 2015,4,The Big Show,def. (pin),Ryback
1293,Mar 3rd 2015,5,A. J. Lee,def. (sub),Brie Bella
1294,Mar 3rd 2015,6,Big E & Kofi Kingston,def. (pin),Damien Mizdow & The Miz
1295,Mar 3rd 2015,7,Rusev,def. (sub),Jack Swagger
1296,Mar 3rd 2015,8,Dean Ambrose & Dolph Ziggler,def. (pin),Bad News Barrett & Luke Harper
1297,Mar 3rd 2015,9,Daniel Bryan & Dean Ambrose & Roman Reigns,def. (pin),Bray Wyatt & Seth Rollins & The Big Show
1298,Mar 3rd 2015,1,Natalya,def. (sub),Sasha Banks
1299,Mar 3rd 2015,2,Fandango,def. (pin),Curtis Axel
1300,Mar 3rd 2015,3,Adam Rose,def. (pin),Zack Ryder
1301,Mar 3rd 2015,4,Paige,def. (sub),Summer Rae
1302,Mar 3rd 2015,5,Jey Uso & Jimmy Uso,def. (pin),Konnor & Viktor
1303,Mar 2nd 2015,1,Dean Ambrose,def. (pin),Bad News Barrett
1304,Mar 2nd 2015,2,Jey Uso & Jimmy Uso & Naomi,def. (pin),Cesaro & Natalya & Tyson Kidd
1305,Mar 2nd 2015,3,John Cena,def. (sub),Curtis Axel
1306,Mar 2nd 2015,4,Paige,def. (DQ),Nikki Bella (c)
1307,Mar 2nd 2015,5,Daniel Bryan,def. (sub),Luke Harper
1308,Mar 2nd 2015,6,Seth Rollins,def. (pin),Roman Reigns
1309,Mar 2nd 2015,7,Dean Ambrose & Dolph Ziggler & John Cena & Roman Reigns,def. (pin),Bray Wyatt & Kane & Seth Rollins & The Big Show
1310,Mar 2nd 2015,1,Konnor & Viktor,def. (pin),Darren Young & Titus O'Neil
1311,Mar 2nd 2015,2,Zack Ryder,def. (pin),Adam Rose
1312,Mar 1st 2015,1,Zack Ryder,def. (pin),Bo Dallas
1313,Mar 1st 2015,2,Jack Swagger,def. (sub),Adam Rose
1314,Mar 1st 2015,3,Erick Rowan,def. (pin),Adam Rose
1315,Mar 1st 2015,4,Cesaro (c) & Tyson Kidd (c),def. (pin),"Konnor & Viktor, Big E & Xavier Woods, Darren Young & Titus O'Neil"
1316,Mar 1st 2015,5,R-Truth,def. (pin),Fandango
1317,Mar 1st 2015,6,Roman Reigns,def. (pin),The Big Show
1318,Mar 1st 2015,7,Nikki Bella (c),def. (pin),Paige
1319,Mar 1st 2015,8,Goldust,def. (pin),Stardust
1320,Mar 1st 2015,9,John Cena & Ryback,def. (pin),Rusev & Seth Rollins
1321,Mar 1st 2015,1,Wade Barrett (c),def. (pin),"Dean Ambrose, Dolph Ziggler"
1322,Mar 1st 2015,2,Sin Cara,def. (pin),Tyler Breeze
1323,Mar 1st 2015,3,Diego & Fernando,def. (pin),Curtis Axel & Heath Slater
1324,Mar 1st 2015,4,Chris Jericho,def. (pin),Luke Harper
1325,Mar 1st 2015,5,Randy Orton,def. (pin),Bray Wyatt
1326,Mar 1st 2015,6,Emma & Naomi & Natalya,def. (sub),Cameron & Sasha Banks & Summer Rae
1327,Mar 1st 2015,7,Jey Uso & Jimmy Uso,def. (pin),Damien Mizdow & The Miz
1328,Mar 1st 2015,8,Daniel Bryan,def. (pin),Kane
1329,Feb 28th 2015,1,Zack Ryder,def. (pin),Bo Dallas
1330,Feb 28th 2015,2,Jack Swagger,def. (sub),Bo Dallas
1331,Feb 28th 2015,3,R-Truth,def. (pin),Fandango
1332,Feb 28th 2015,4,Cesaro (c) & Tyson Kidd (c),def. (pin),"Darren Young & Titus O'Neil, Big E & Xavier Woods, Konnor & Viktor"
1333,Feb 28th 2015,5,Erick Rowan,def. (pin),Adam Rose
1334,Feb 28th 2015,6,Roman Reigns,def. (pin),The Big Show
1335,Feb 28th 2015,7,Nikki Bella (c),def. (pin),Paige
1336,Feb 28th 2015,8,Goldust,def. (pin),Stardust
1337,Feb 28th 2015,9,John Cena & Ryback,def. (pin),Rusev & Seth Rollins
1338,Feb 28th 2015,1,Wade Barrett (c),def. (pin),"Dolph Ziggler, Dean Ambrose"
1339,Feb 28th 2015,2,Sin Cara,def. (pin),Tyler Breeze
1340,Feb 28th 2015,3,Diego & Fernando,def. (pin),Curtis Axel & Heath Slater
1341,Feb 28th 2015,4,Chris Jericho,def. (pin),Luke Harper
1342,Feb 28th 2015,5,Randy Orton,def. (pin),Bray Wyatt
1343,Feb 28th 2015,6,Jey Uso & Jimmy Uso,def. (pin),Damien Mizdow & The Miz
1344,Feb 28th 2015,7,Emma & Naomi & Natalya,def. (sub),Cameron & Sasha Banks & Summer Rae
1345,Feb 28th 2015,8,Daniel Bryan,def. (pin),Kane
1346,Feb 27th 2015,1,Wade Barrett (c),def. (pin),"Dean Ambrose, Dolph Ziggler"
1347,Feb 27th 2015,2,Cesaro (c) & Tyson Kidd (c),def. (pin),Kofi Kingston & Xavier Woods
1348,Feb 27th 2015,3,Nikki Bella (c),def. (pin),Paige
1349,Feb 27th 2015,4,Chris Jericho,def. (pin),Luke Harper
1350,Feb 27th 2015,5,John Cena,def. (DQ),Rusev (c)
1351,Feb 27th 2015,6,R-Truth,def. (pin),Fandango
1352,Feb 27th 2015,7,Randy Orton,def. (pin),Bray Wyatt
1353,Feb 27th 2015,8,Daniel Bryan & Roman Reigns,def. (pin),Kane & Seth Rollins
1354,Feb 24th 2015,1,Big E & Xavier Woods,def. (pin),Konnor & Viktor
1355,Feb 24th 2015,2,Dean Ambrose,def. (pin),The Miz
1356,Feb 24th 2015,3,Natalya,def. (pin),Naomi
1357,Feb 24th 2015,4,Daniel Bryan,def. (pin),Bad News Barrett
1358,Feb 24th 2015,5,Fandango,def. (pin),Curtis Axel
1359,Feb 24th 2015,6,Goldust,(pin),Adam Rose
1360,Feb 24th 2015,7,Dolph Ziggler & Erick Rowan & Ryback,def. (pin),Kane & Seth Rollins & The Big Show
1361,Feb 24th 2015,8,Roman Reigns,def. (pin),Bray Wyatt
1362,Feb 24th 2015,1,Darren Young & Titus O'Neil,def. (pin),Unknown Male Wrestler & Unknown Male Wrestler
1363,Feb 24th 2015,2,Cesaro & Tyson Kidd,def. (pin),Kalisto & Sin Cara
1364,Feb 24th 2015,3,Brie Bella & Nikki Bella,def. (pin),Emma & Paige
1365,Feb 24th 2015,4,Stardust,def. (pin),Kofi Kingston
1366,Feb 23rd 2015,1,Dolph Ziggler,def. (pin),Bad News Barrett
1367,Feb 23rd 2015,2,Darren Young & Titus O'Neil,def. (pin),Konnor & Viktor
1368,Feb 23rd 2015,3,Jey Uso & Jimmy Uso,def. (DQ),Cesaro (c) & Tyson Kidd (c)
1369,Feb 23rd 2015,4,Jack Swagger,def. (sub),Stardust
1370,Feb 23rd 2015,5,Brie Bella & Nikki Bella,def. (pin),Emma & Paige
1371,Feb 23rd 2015,6,Ryback,def. (pin),Curtis Axel
1372,Feb 23rd 2015,7,Daniel Bryan & Roman Reigns,def. (pin),Randy Orton & Seth Rollins
1373,Feb 23rd 2015,8,Daniel Bryan & Dean Ambrose & John Cena & Roman Reigns,def. (pin),Bray Wyatt & Kane & Seth Rollins & The Big Show
1374,Feb 23rd 2015,1,Erick Rowan,def. (pin),Adam Rose
1375,Feb 23rd 2015,2,Luke Harper,def. (pin),Kofi Kingston
1376,Feb 22nd 2015,1,Kane & Seth Rollins & The Big Show,def. (pin),Dolph Ziggler & Erick Rowan & Ryback
1377,Feb 22nd 2015,2,Goldust,def. (pin),Stardust
1378,Feb 22nd 2015,3,Cesaro & Tyson Kidd,def. (pin),Jey Uso (c) & Jimmy Uso (c)
1379,Feb 22nd 2015,4,Nikki Bella (c),def. (pin),Paige
1380,Feb 22nd 2015,5,Bad News Barrett (c),def. (DQ),Dean Ambrose
1381,Feb 22nd 2015,6,Rusev (c),def. (sub),John Cena
1382,Feb 22nd 2015,7,Roman Reigns,def. (pin),Daniel Bryan
1383,Feb 17th 2015,1,Fandango,def. (pin),Bull Dempsey
1384,Feb 17th 2015,2,Daniel Bryan,def. (sub),The Miz
1385,Feb 17th 2015,3,Ryback,def. (pin),Kane
1386,Feb 17th 2015,4,R-Truth,def. (pin),Bad News Barrett
1387,Feb 17th 2015,5,Konnor & Viktor,def. (pin),Big E & Xavier Woods
1388,Feb 17th 2015,6,Roman Reigns,def. (pin),Luke Harper
1389,Feb 17th 2015,7,The Big Show,def. (pin),Erick Rowan
1390,Feb 17th 2015,8,Paige,def. (sub),Cameron
1391,Feb 17th 2015,9,Tyson Kidd,draw (NC),Jimmy Uso
1392,Feb 17th 2015,10,Seth Rollins,def. (pin),Dolph Ziggler
1393,Feb 17th 2015,1,Natalya,def. (sub),Summer Rae
1394,Feb 17th 2015,2,Kalisto & Sin Cara,def. (pin),Curtis Axel & Heath Slater
1395,Feb 17th 2015,3,Stardust,def. (pin),Zack Ryder
1396,Feb 17th 2015,4,Titus O'Neil,def. (DQ),Adam Rose
1397,Feb 17th 2015,5,Cesaro,def. (pin),Jack Swagger
1398,Feb 16th 2015,1,Dean Ambrose,def. (pin),Luke Harper
1399,Feb 16th 2015,2,Kofi Kingston & Xavier Woods,def. (pin),Goldust & Stardust
1400,Feb 16th 2015,3,Roman Reigns,def. (CO),Kane
1401,Feb 16th 2015,4,Paige,def. (sub),Summer Rae
1402,Feb 16th 2015,5,Dolph Ziggler,def. (DQ),Seth Rollins
1403,Feb 16th 2015,6,Konnor & Viktor,draw (NC),Darren Young & Kevin Kross
1404,Feb 16th 2015,7,Bad News Barrett,def. (pin),Damien Mizdow
1405,Feb 16th 2015,8,Jimmy Uso & Naomi,def. (pin),Natalya & Tyson Kidd
1406,Feb 16th 2015,9,The Big Show,def. (DQ),Daniel Bryan
1407,Feb 16th 2015,10,John Cena,def. (pin),Bray Wyatt
1408,Feb 16th 2015,1,Fandango,def. (pin),Adam Rose
1409,Feb 16th 2015,2,Jack Swagger,def. (sub),Curtis Axel
1410,Feb 15th 2015,1,Kevin Owens (c),def. (pin),Adrian Neville
1411,Feb 15th 2015,2,Darren Young,def. (pin),Titus O'Neil
1412,Feb 15th 2015,3,Diego & El Torito & Fernando,def. (pin),Fandango & Heath Slater & Hornswoggle
1413,Feb 15th 2015,4,Chris Jericho,def. (pin),Cesaro
1414,Feb 15th 2015,5,Daniel Bryan & Randy Orton,def. (pin),Bray Wyatt & Kane
1415,Feb 15th 2015,6,Emma & Natalya & Paige,def. (sub),Alicia Fox & Sasha Banks & Summer Rae
1416,Feb 15th 2015,7,Jey Uso (c) & Jimmy Uso (c),def. (pin),Damien Mizdow & The Miz
1417,Feb 15th 2015,8,Roman Reigns,def. (pin),The Big Show
1418,Feb 14th 2015,1,Kevin Owens (c),def. (pin),Adrian Neville
1419,Feb 14th 2015,2,Darren Young,def. (pin),Titus O'Neil
1420,Feb 14th 2015,3,Diego & Fernando,def. (pin),Fandango & Heath Slater
1421,Feb 14th 2015,4,Chris Jericho,def. (pin),Cesaro
1422,Feb 14th 2015,5,Daniel Bryan & Randy Orton,def. (pin),Bray Wyatt & Kane
1423,Feb 14th 2015,6,Emma & Natalya & Paige,def. (sub),Alicia Fox & Sasha Banks & Summer Rae
1424,Feb 14th 2015,7,Jey Uso (c) & Jimmy Uso (c),def. (pin),"Damien Mizdow, The Miz"
1425,Feb 14th 2015,8,Roman Reigns,def. (pin),The Big Show
1426,Feb 14th 2015,1,Dolph Ziggler & Ryback,def. (pin),Luke Harper & Tyson Kidd
1427,Feb 14th 2015,2,Erick Rowan,def.,Curtis Axel
1428,Feb 14th 2015,3,Sami Zayn,def. (pin),Bo Dallas
1429,Feb 14th 2015,4,Dean Ambrose,def. (pin),Seth Rollins
1430,Feb 14th 2015,5,Kofi Kingston & Xavier Woods,def. (pin),Goldust & Stardust
1431,Feb 14th 2015,6,Rusev (c),def. (sub),Jack Swagger
1432,Feb 14th 2015,7,John Cena,def. (DQ),Bad News Barrett (c)
1433,Feb 13th 2015,1,Big E & Xavier Woods,def. (pin),Goldust & Stardust
1434,Feb 13th 2015,2,Erick Rowan,def. (pin),Bo Dallas
1435,Feb 13th 2015,3,Ryback,def.,Curtis Axel
1436,Feb 13th 2015,4,Dolph Ziggler,def. (pin),Seth Rollins
1437,Feb 13th 2015,5,Sami Zayn,def. (pin),Tyson Kidd
1438,Feb 13th 2015,6,Bad News Barrett (c),def. (pin),"Jack Swagger, Kofi Kingston"
1439,Feb 13th 2015,7,Dean Ambrose & John Cena,def. (pin),Luke Harper & Rusev
1440,Feb 12th 2015,1,Dean Ambrose,def. (pin),Luke Harper
1441,Feb 12th 2015,2,Jack Swagger,def. (sub),Tyson Kidd
1442,Feb 12th 2015,3,Bo Dallas,def. (pin),Curtis Axel
1443,Feb 12th 2015,4,Ryback,def. (pin),Curtis Axel
1444,Feb 12th 2015,5,Dolph Ziggler,def. (DQ),Bad News Barrett (c)
1445,Feb 12th 2015,6,Rusev (c),def. (sub),Erick Rowan
1446,Feb 12th 2015,7,Big E & Kofi Kingston,def. (pin),Goldust & Stardust
1447,Feb 12th 2015,8,John Cena,def. (pin),Seth Rollins
1448,Feb 10th 2015,1,Bray Wyatt,def. (pin),R-Truth
1449,Feb 10th 2015,2,Paige,def.,Summer Rae
1450,Feb 10th 2015,3,Fandango,def. (pin),Adam Rose
1451,Feb 10th 2015,4,Daniel Bryan & Roman Reigns,def. (pin),Damien Mizdow & The Miz
1452,Feb 10th 2015,5,Daniel Bryan & Roman Reigns,def. (sub),Jey Uso & Jimmy Uso
1453,Feb 10th 2015,6,Daniel Bryan & Roman Reigns,def. (sub),Diego & Fernando
1454,Feb 10th 2015,7,Daniel Bryan & Roman Reigns,def. (pin),Heath Slater & Titus O'Neil
1455,Feb 10th 2015,8,Daniel Bryan & Roman Reigns,def. (DQ),Konnor & Viktor
1456,Feb 10th 2015,9,Daniel Bryan & Roman Reigns,def. (sub),Kane & The Big Show
1457,Feb 10th 2015,1,Nikki Bella,def. (pin),Emma
1458,Feb 10th 2015,2,Konnor & Viktor,def. (pin),Abe Jackson & Unknown Male Wrestler
1459,Feb 10th 2015,3,Naomi,def. (pin),Natalya
1460,Feb 10th 2015,4,Cesaro,def. (pin),Sin Cara
1461,Feb 9th 2015,1,Daniel Bryan & Roman Reigns,def. (DQ),Kane & The Big Show
1462,Feb 9th 2015,2,Ryback,def. (DQ),Seth Rollins
1463,Feb 9th 2015,3,Paige,def. (pin),Brie Bella
1464,Feb 9th 2015,4,Bray Wyatt,def. (pin),Dolph Ziggler
1465,Feb 9th 2015,5,Big E & Kofi Kingston,def. (pin),Goldust & Stardust
1466,Feb 9th 2015,6,Cesaro & Tyson Kidd,def. (pin),Jey Uso & Jimmy Uso
1467,Feb 9th 2015,7,Sin Cara,def. (pin),Damien Mizdow
1468,Feb 9th 2015,8,Dean Ambrose,def. (pin),Curtis Axel
1469,Feb 9th 2015,9,Daniel Bryan & Roman Reigns,def. (pin),Jamie Noble & Joey Mercury & Kane & Seth Rollins & The Big Show
1470,Feb 9th 2015,1,Titus O'Neil,def. (pin),Jack Swagger
1471,Feb 9th 2015,2,Luke Harper,def. (pin),R-Truth
1472,Feb 8th 2015,1,Jack Swagger,def. (sub),Titus O'Neil
1473,Feb 8th 2015,2,Diego & El Torito & Fernando,def. (pin),Curtis Axel & Heath Slater & Hornswoggle
1474,Feb 8th 2015,3,R-Truth,def. (pin),Fandango
1475,Feb 8th 2015,4,Chris Jericho,def. (pin),Luke Harper
1476,Feb 8th 2015,5,Dean Ambrose,def. (pin),Bray Wyatt
1477,Feb 8th 2015,6,Natalya & Paige,def. (sub),Alicia Fox & Sasha Banks
1478,Feb 8th 2015,7,Jey Uso (c) & Jimmy Uso (c),def. (pin),Damien Mizdow & The Miz
1479,Feb 8th 2015,8,Rusev (c),def. (sub),Erick Rowan
1480,Feb 8th 2015,9,Roman Reigns,def. (pin),The Big Show
1481,Feb 8th 2015,1,Dolph Ziggler,def. (pin),Bad News Barrett
1482,Feb 8th 2015,2,Adrian Neville & Sami Zayn,def. (pin),Konnor & Viktor
1483,Feb 8th 2015,3,Darren Young,def. (pin),Adam Rose
1484,Feb 8th 2015,4,Ryback,def. (pin),Adam Rose
1485,Feb 8th 2015,5,Emma & Naomi,def. (pin),Cameron & Summer Rae
1486,Feb 8th 2015,6,Sin Cara,def. (pin),Bo Dallas
1487,Feb 8th 2015,7,Randy Orton,def. (pin),Kane
1488,Feb 8th 2015,8,Cesaro & Tyson Kidd,def. (pin),Goldust & Stardust
1489,Feb 8th 2015,9,Daniel Bryan,def. (pin),Seth Rollins
1490,Feb 7th 2015,1,Jack Swagger,def. (sub),Titus O'Neil
1491,Feb 7th 2015,2,Diego & El Torito & Fernando,def. (pin),Curtis Axel & Heath Slater & Hornswoggle
1492,Feb 7th 2015,3,R-Truth,def. (pin),Fandango
1493,Feb 7th 2015,4,Chris Jericho,def. (pin),Luke Harper
1494,Feb 7th 2015,5,Dean Ambrose,def. (pin),Bray Wyatt
1495,Feb 7th 2015,6,Natalya & Paige,def. (sub),Alicia Fox & Sasha Banks
1496,Feb 7th 2015,7,Jey Uso (c) & Jimmy Uso (c),def. (pin),Damien Mizdow & The Miz
1497,Feb 7th 2015,8,Rusev (c),def. (sub),Erick Rowan
1498,Feb 7th 2015,9,Roman Reigns,def. (pin),The Big Show
1499,Feb 7th 2015,1,Dolph Ziggler,def. (pin),Bad News Barrett
1500,Feb 7th 2015,2,Adrian Neville & Sami Zayn,def. (pin),Konnor & Viktor
1501,Feb 7th 2015,3,Darren Young,def. (pin),Adam Rose
1502,Feb 7th 2015,4,Emma & Naomi,def. (pin),Cameron & Summer Rae
1503,Feb 7th 2015,5,Randy Orton,def. (pin),Kane
1504,Feb 7th 2015,6,Sin Cara,def. (pin),Bo Dallas
1505,Feb 7th 2015,7,Cesaro & Tyson Kidd,def. (pin),Goldust & Stardust
1506,Feb 7th 2015,8,Daniel Bryan,def. (pin),Seth Rollins
1507,Feb 6th 2015,1,R-Truth,def. (pin),Fandango
1508,Feb 6th 2015,2,Diego & Fernando,def. (pin),Heath Slater & Titus O'Neil
1509,Feb 6th 2015,3,Rusev,def. (sub),Erick Rowan
1510,Feb 6th 2015,4,Dean Ambrose,def. (pin),Bray Wyatt
1511,Feb 6th 2015,5,Natalya & Paige,def. (sub),Alicia Fox & Sasha Banks
1512,Feb 6th 2015,6,Jey Uso (c) & Jimmy Uso (c),def. (pin),Damien Mizdow & The Miz
1513,Feb 6th 2015,7,Roman Reigns,def. (pin),The Big Show
1514,Feb 3rd 2015,1,Charlotte,def. (pin),Sasha Banks
1515,Feb 3rd 2015,2,Dolph Ziggler & Ryback,def. (pin),Goldust & Stardust
1516,Feb 3rd 2015,3,Dean Ambrose,def. (pin),Curtis Axel
1517,Feb 3rd 2015,4,Fandango,def. (pin),Adam Rose
1518,Feb 3rd 2015,5,Roman Reigns,def. (pin),The Miz
1519,Feb 3rd 2015,6,Rusev,def. (sub),Erick Rowan
1520,Feb 3rd 2015,7,Paige,def. (sub),Alicia Fox
1521,Feb 3rd 2015,8,Daniel Bryan,def. (sub),Jamie Noble & Joey Mercury & Seth Rollins
1522,Feb 3rd 2015,1,Luke Harper,def. (pin),Heath Slater
1523,Feb 3rd 2015,2,Brie Bella,def. (pin),Summer Rae
1524,Feb 3rd 2015,3,Bad News Barrett,def. (pin),Sin Cara
1525,Feb 3rd 2015,4,Konnor & Viktor,def. (pin),Danger Dean & Jason Jaxon
1526,Feb 3rd 2015,5,Cesaro & Tyson Kidd,def. (pin),Big E & Kofi Kingston
1527,Feb 2nd 2015,1,The Big Show,def. (pin),Roman Reigns
1528,Feb 2nd 2015,2,Konnor & Viktor,def. (pin),Goldust & Stardust
1529,Feb 2nd 2015,3,Ryback,def. (pin),Luke Harper
1530,Feb 2nd 2015,4,Cesaro,def. (pin),Jimmy Uso
1531,Feb 2nd 2015,5,Bray Wyatt,def. (pin),Dolph Ziggler
1532,Feb 2nd 2015,6,Paige,def. (pin),Alicia Fox
1533,Feb 2nd 2015,7,Sin Cara,def. (pin),The Miz
1534,Feb 2nd 2015,8,Erick Rowan,draw (NC),Rusev
1535,Feb 2nd 2015,9,Daniel Bryan,def. (pin),Seth Rollins
1536,Feb 2nd 2015,1,Emma,def. (pin),Summer Rae
1537,Feb 2nd 2015,2,Fandango,def. (pin),Adam Rose
1538,Feb 1st 2015,1,Daniel Bryan,def. (pin),Bray Wyatt
1539,Feb 1st 2015,2,Big E & Kofi Kingston,def. (pin),Goldust & Stardust
1540,Feb 1st 2015,3,Natalya,def. (sub),Alicia Fox
1541,Feb 1st 2015,4,Dolph Ziggler,def. (pin),Bad News Barrett
1542,Feb 1st 2015,5,Diego & Fernando,def. (pin),Curtis Axel & Fandango
1543,Feb 1st 2015,6,Dean Ambrose,def. (pin),Luke Harper
1544,Feb 1st 2015,7,John Cena,def. (pin),Seth Rollins
1545,Feb 1st 2015,1,R-Truth,def. (pin),Tyson Kidd
1546,Feb 1st 2015,2,Darren Young,def. (pin),Adam Rose
1547,Feb 1st 2015,3,Ryback,def. (pin),Kane
1548,Feb 1st 2015,4,Jey Uso & Jimmy Uso,def. (pin),Damien Mizdow & The Miz
1549,Feb 1st 2015,5,Chris Jericho,def. (pin),Cesaro
1550,Feb 1st 2015,6,Charlotte & Emma & Naomi,def. (pin),Cameron & Sasha Banks & Summer Rae
1551,Feb 1st 2015,7,The Big Show,def. (pin),Erick Rowan
1552,Feb 1st 2015,8,Roman Reigns,def. (DQ),Rusev
1553,Jan 31st 2015,1,Dolph Ziggler,def. (pin),Bad News Barrett
1554,Jan 31st 2015,2,Diego & Fernando & Sin Cara,def. (pin),Curtis Axel & Fandango & Titus O'Neil
1555,Jan 31st 2015,3,Natalya,def. (sub),Alicia Fox
1556,Jan 31st 2015,4,Daniel Bryan,def. (pin),Bray Wyatt
1557,Jan 31st 2015,5,Big E & Kofi Kingston,def. (pin),Goldust & Stardust
1558,Jan 31st 2015,6,Dean Ambrose,def. (pin),Luke Harper
1559,Jan 31st 2015,7,John Cena,def. (pin),Seth Rollins
1560,Jan 31st 2015,1,R-Truth,def. (pin),Tyson Kidd
1561,Jan 31st 2015,2,Darren Young,def. (pin),Adam Rose
1562,Jan 31st 2015,3,Ryback,def. (pin),Kane
1563,Jan 31st 2015,4,Jey Uso (c) & Jimmy Uso (c),def. (pin),Damien Mizdow & The Miz
1564,Jan 31st 2015,5,Chris Jericho,def. (pin),Cesaro
1565,Jan 31st 2015,6,Charlotte & Emma & Naomi,def. (pin),Cameron & Sasha Banks & Summer Rae
1566,Jan 31st 2015,7,Rusev (c),def. (sub),Erick Rowan
1567,Jan 31st 2015,8,Roman Reigns,def. (pin),The Big Show
1568,Jan 30th 2015,1,Dolph Ziggler,def. (pin),Bad News Barrett
1569,Jan 30th 2015,2,Diego & Fernando & Sin Cara,def. (pin),Curtis Axel & Fandango & Titus O'Neil
1570,Jan 30th 2015,3,Natalya,def. (sub),Alicia Fox
1571,Jan 30th 2015,4,Daniel Bryan,def. (pin),Bray Wyatt
1572,Jan 30th 2015,5,Big E & Kofi Kingston,def. (pin),Goldust & Stardust
1573,Jan 30th 2015,6,Dean Ambrose,def. (pin),Luke Harper
1574,Jan 30th 2015,7,John Cena,def. (pin),Seth Rollins
1575,Jan 29th 2015,1,Jack Swagger,def. (sub),Fandango
