,Name,Elo,Matches
622,Barry Windham,1500,2
623,Mike Rotundo,1500,2
711,Seth Green,1500,4
722,Maria Menounos,1500,8
753,Khaluber,1500,2
754,MacGruber,1500,2
763,Mark Feuerstein,1500,2
775,Serena,1500,2
799,Rob Dyrdek,1500,2
800,"Nicole ""Snooki"" Polizzi",1500,2
848,Gene Okerlund,1500,2
892,JoJo,1500,6
905,R-Ziggler,1500,4
906,The Bunny,1500,4
923,Big Cass,1500,12
924,Enzo Amore,1500,12
439,Tzuki,1499.966092,2
911,Diamond Dallas Page,1499.424418,1
688,Eric Escobar,1499.205349,8
512,The Miz,1499.161242,799
834,Richie Steamboat,1499.024892,2
890,Fernando,1498.876384,270
341,Jimmy Jacobs,1498.58708,2
412,Jimmy Snuka,1498.495041,3
917,Hideo Itami,1498.32545,1
899,Konnor,1498.222495,53
797,Diesel,1498.20605,1
361,Melina,1498.03358,188
319,Big Vito,1497.950829,4
900,Viktor,1497.877456,53
840,Kharma,1497.787182,1
527,Armando Alejandro Estrada,1497.285751,1
345,Robert Fury,1496.658184,1
554,Dan Rodman,1496.478017,2
909,Bo Washington,1496.472042,1
724,Scott Armstrong,1496.319001,1
344,Quinson Valentino,1496.129377,1
517,Sir William Regal,1495.940699,1
12,Lance Storm,1495.682614,96
135,Chris Nowinski,1495.662666,1
395,Juventud,1495.5987,2
916,Sting,1495.192811,1
577,Mr. Cena,1495.155494,1
888,Nick Nardone,1495.116263,1
665,Ryan Taylor,1495.023528,1
813,Bobby Howard,1494.789145,1
430,Gymini #1,1494.656475,17
431,Gymini #2,1494.514435,17
366,Animal,1494.501969,34
788,The Swagger Soaring Eagle,1494.409023,1
698,Ricky Steamboat,1494.364706,3
701,Jesse Gilmore,1494.229141,1
718,Kevin Brooks,1494.209217,1
796,Mike Stevens,1494.127376,1
700,Frankie Sloan,1494.065792,1
713,Bill Baine,1494.044847,1
760,Eli Cottonwood,1493.989912,5
621,Brandon Hill,1493.964251,1
795,Seth Allen,1493.95879,1
329,Jose Macias,1493.898299,1
699,David Floridia,1493.894009,1
313,Roderick Strong,1493.520775,1
309,Brian Black,1493.319793,1
614,Mini Batista,1493.307489,1
321,Mike Haywood,1493.098307,1
613,Mini Kane,1493.094665,1
742,Perry Wallace,1492.936575,1
318,Matt Martel,1492.873658,1
612,Mini Mankind,1492.869807,1
507,Alex Sage,1492.717099,1
611,Mini Mr. Kennedy,1492.632015,1
57,Christopher Nowinski,1492.624408,39
671,Oliver Biney,1492.593008,1
212,Brother Love,1492.523374,1
485,Terry Funk,1492.480681,1
407,James Dick,1492.222688,9
829,Dustin Foster,1492.191786,1
302,Sebastian McCauley,1491.970847,1
406,Chad Dick,1491.946525,9
437,Brad Attitude,1491.884963,1
294,Chris Nawrocki,1491.80048,1
475,Shawn Osborne,1491.79801,1
211,Conquistador Uno,1491.758692,1
610,Ranjin Singh,1491.751316,1
828,Luke Jennings,1491.723655,1
300,Cody Steele,1491.679343,1
626,J. T. Flash,1491.567759,1
740,The Carolina Panther,1491.550468,1
845,Antonio Cesaro,1491.536869,292
261,Cactus Jack,1491.527184,1
546,Patrick Sparks,1491.472219,1
210,Conqusitador Dos,1491.45411,1
827,Brian Thomas,1491.416901,1
297,Dean Visk,1491.369836,1
570,Nate Nickerson,1491.347284,1
482,Raymond Rowe,1491.32956,1
679,Tony Atlas,1491.329054,3
427,Havok,1491.21344,1
45,Albert,1491.169516,26
607,Mike Tullo,1491.151294,1
825,Joey Gray,1491.090985,1
732,Lisa Taylor,1491.065019,1
589,Joey Munoz,1490.995757,1
604,Bart Gunn,1490.994922,1
471,Mike Altieri,1490.885236,1
457,Daniel Cross,1490.877548,1
638,Julio Dinero,1490.772764,1
824,Mike Palmer,1490.744461,1
685,Sammy Savard,1490.73066,1
808,Christina Crawford,1490.729987,1
728,Brittney Carter,1490.716843,1
801,Michael Cole,1490.704977,10
154,B. J. Payne,1490.704648,1
603,Bob Backlund,1490.642281,1
681,Sim Snuka,1490.637502,5
328,Lauren Jones,1490.52886,1
823,Allen Turner,1490.375792,1
683,Brett Barnes,1490.361104,1
807,Luke Robinson,1490.360389,1
725,Jenny Brooks,1490.346401,1
586,Derek McQuinn,1490.280823,1
810,Don Gonzales,1490.26552,1
159,Apollo Khan,1490.243054,1
459,Eric Priest,1490.241939,1
226,Kevin Krueger,1490.203508,1
572,Jesse Guilmette,1490.186117,1
307,Santa Claus,1490.125016,2
749,Aaron Bolo,1490.094832,1
649,The Brian Kendrick,1489.986863,44
822,Brandon James,1489.983356,1
205,Ruffy Silverstein,1489.981539,1
680,Scott Reid,1489.967719,1
